source_record_id,donor,domain,value_unit,fourth_order_disposition,fifth_order_decision,feature_value,usability_value,widget_richness,promotion_record_ids,target_evidence,decision_rationale,validation_status
SEM081,Aether,telemetry,Chrome NetLog conversion,reference-only,promoted-live,medium,medium,medium,F5-008,src/packages/control-ui/src/api/qlog.ts#eventFromNetlog;src/packages/control-ui/src/api/qlog.ts#reverseNumericConstants,Feature-weighted re-score promotes this value through F5-008. NetLog is promoted because one normalized viewer gives operators another high-value diagnostic input with little extra UI complexity. Numeric constant tables are resolved when present and events flow into the same bounded trace model.,verified
SEM082,Aether,telemetry-ui,QLOG visualization UI,reference-only,promoted-live,high,high,high,F5-009,src/packages/control-ui/src/pages/Operations.tsx#traceCategory;src/packages/control-ui/src/pages/Operations.tsx#traceQuery,"Feature-weighted re-score promotes this value through F5-009. The donor qlog visualization idea is promoted as a compact native widget: local file import, format/event summary, category chips, category selection, text filtering and bounded event rows. It is integrated into Operations rather than shipped as a separate web app.",statically-validated
SEM083,Aether,test-oracle,QUIC fuzz corpus/harness family,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM084,Aether,async-transport,Tokio QUIC router/socket framework,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM085,Aether,test-oracle,interactive HTTP/3 client/scenario runner,reference-only,deferred-parallel-transport-stack,medium,medium,medium,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM086,Aether,ffi,quiche C ABI,reference-only,deferred-parallel-transport-stack,high,high,high,n/a,n/a,These deep QUIC/H3/FFI mechanisms are substantial but would create a parallel transport implementation with little immediate operator/widget value relative to the existing target libraries. Smaller observable trace value was promoted instead.,reviewed
SEM088,goida-vpn-site,distribution,cross-donor updater/download plane,rejected-with-reason,promoted-partially,high,medium,medium,F5-004,src/apps/daemon/internal/foundation/updateadmission/stage.go#Stage;src/apps/daemon/internal/adapters/api/handlers_update_stage.go#StageSignedUpdate;src/packages/control-ui/src/pages/Operations.tsx#runUpdateAction,"Feature-weighted re-score promotes this value through F5-004. Previously separate donor update-dialog/download ideas are recomposed above signed admission: the operator can discover, inspect, verify and stage the exact artifact. This adds practical update workflow value without requiring donor-specific updater code.",verified
SEM090,Aether,protocol-metadata,"Cloudflare MASQUE endpoints, ALPN, pins and anycast seeds",reference-only,deferred-low-interactive-value,medium,medium,medium,n/a,n/a,"The data is potentially useful, but under the current feature-richness goal it adds less operator value than live protocol/update/profile/diagnostic surfaces and lacks a direct current workflow.",reviewed
SEM094,Aether,retry-policy,protocol reconnect/cooldown controls,reference-only,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
SEM097,Aether,token-lifecycle,JWT expiry parsing and live-token reuse,reference-only,deferred-no-user-facing-access-flow,medium,medium,medium,n/a,n/a,"Identity/token mechanics are useful only with a concrete Access login workflow and consumer. No current LumiNet product flow needs that identity plane, so promotion would add hidden complexity without user-visible functionality.",reviewed
SEM098,Aether,identity-auth,service-token completeness and interactive Access login extraction,reference-only,deferred-no-user-facing-access-flow,medium,medium,medium,n/a,n/a,"Identity/token mechanics are useful only with a concrete Access login workflow and consumer. No current LumiNet product flow needs that identity plane, so promotion would add hidden complexity without user-visible functionality.",reviewed
SEM099,Aether,platform-test,macOS platform transport/test harness,reference-only,deferred-platform-without-target-host,medium,medium,medium,n/a,n/a,Platform-specific lifecycle/test value remains useful but there is no matching active target host in this release surface; promotion now would add code without a usable user path.,reviewed
SEM100,Aether-GUI,desktop-host,tray/event/focus host integration,reference-only,deferred-desktop-host-contract,high,high,medium,n/a,n/a,"Tray/focus/event richness remains attractive, but the current desktop host integration contract is not strong enough to add these without a separately verified Wails host lifecycle. Operations now exposes engine/diagnostic state in-app while this remains a future desktop-host promotion.",reviewed
SEM101,Aether-GUI,desktop-events,typed status/log event envelopes,reference-only,deferred-desktop-host-contract,medium,high,medium,n/a,n/a,"Tray/focus/event richness remains attractive, but the current desktop host integration contract is not strong enough to add these without a separately verified Wails host lifecycle. Operations now exposes engine/diagnostic state in-app while this remains a future desktop-host promotion.",reviewed
SEM104,defyxVPN,product-monetization,ad retry/error widget,rejected-with-reason,deferred-lower-feature-leverage,medium,medium,medium,n/a,n/a,Re-reviewed with functionality/usability/widget richness dominant. The item remains below the current promotion cutoff because it lacks a coherent current user path or duplicates a stronger existing owner; its useful sub-primitives remain available for later extraction.,reviewed
