wave,donor,license_posture,source_reuse_policy
ultimate-63,sing-geosite-main,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists
ultimate-63,snowbox-master,no explicit license; test-environment reference only,no source copying; evidence/reference/independent rederivation only
ultimate-63,sysproxy-main,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,torrequest-master,metadata declares MIT,no source copying; evidence/reference/independent rederivation only
ultimate-63,unique-queue-master,no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,v2rayng-panel-main(1),no explicit license,no direct source reuse; concepts/negative evidence/reference only
ultimate-63,vps-warp-main(1),MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply"
ultimate-63,x-ui-pro-master,no explicit license; operational guardrail/reference only,no source copying; evidence/reference/independent rederivation only
ultimate-63,zeus-main(1),no explicit license; selected concepts independently rederived only,no source copying; evidence/reference/independent rederivation only
ultimate-63,MullvadVPN-Tricks-main,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,RealiTLScanner-main,MPL-2.0,file-level copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,aces-main,BSD-like US Government permissive,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,bldfrm-vpn-main,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,dns_over_tls_over_tor-master,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,fptn-manager-master,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,fswatch-main,GPL-3.0-or-later,copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,iptables-mod-randmap-master,GPL-2.0,copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,mullvad-browser-main,MPL-2.0 (README claim; archive lacks license file),file-level copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,mullvad-closest-main,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,mullvad-proxy-main,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,onionsphinkter-production,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,php-proxy-app-master,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,ptnettools-main,CC0-1.0,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,smart-vpn-ec2-manager-main,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,the-onion-diaries-master,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,tor-relay-bootstrap-master,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented
ultimate-63,tor.rb-master,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted
ultimate-63,tor_box-master,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only"
ultimate-63,torget-main,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented
post-refactor-20,MITM-DomainFronting-main,GPLv3,concept/negative evidence only
post-refactor-20,MITM-cheatsheet-master,no explicit LICENSE,no source reuse; defensive reference only
post-refactor-20,Marzban-scripts-master,no explicit LICENSE,no source reuse; operational reference only
post-refactor-20,NginxReverseProxy-main,MIT,direct adaptation permitted with attribution
post-refactor-20,Nova-Proxy-App-main,no explicit LICENSE,no source reuse; independent derivation/guardrails only
post-refactor-20,Nova-Proxy-main,MIT,direct adaptation permitted with attribution
post-refactor-20,NovaRadar-main,MIT,direct adaptation permitted with attribution
post-refactor-20,Pitraix-main,MIT but malicious product role,no capability adoption; negative evidence only
post-refactor-20,QS-Tunnel-main,GPLv3,concept/negative evidence only
post-refactor-20,cellshift-main,BSD-style / U.S. Government terms,reference/evaluation use subject to terms
post-refactor-20,mihomo-main,MIT,unrelated product role
post-refactor-20,mullvad-best-server-main,MIT,direct adaptation permitted with attribution
post-refactor-20,mullvad-tailscale-main,GPLv3,concept/negative evidence only
post-refactor-20,multitor-master,GPLv3,concept/negative evidence only
post-refactor-20,nahan-main(2),no explicit LICENSE,identical prior donor; no new source reuse
post-refactor-20,onionperf-master,BSD-style / U.S. Government terms,reference/evaluation use subject to terms
post-refactor-20,proxy-yoinker-main,no explicit LICENSE,no source reuse; concept/reference only
post-refactor-20,qpp-main,GPLv3,no source reuse; crypto rejected
post-refactor-20,qtun-master,MIT declared in Cargo.toml,direct adaptation permitted with attribution
post-refactor-20,smux-dev,MIT,direct adaptation permitted with attribution
tor-wave-14,Tor-IP-Changer-main,MIT,concept/adaptation permitted with attribution; no donor packaging copied
tor-wave-14,TorOverVPN-main,no explicit LICENSE,no source reuse; operational/negative evidence only
tor-wave-14,Tor_Onion_Proxy_Library-master,Apache-2.0,behavioral evidence/adaptation permitted; bundled binaries remain donor artifacts
tor-wave-14,onion-grater-master,AGPL-3+ with file-specific notices,no source reuse; security-policy evidence only
tor-wave-14,onionbalance-develop,GPLv3,no source reuse; protocol/algorithm reference only
tor-wave-14,onionoo-master,BSD-style,protocol/data-model reference only
tor-wave-14,tor-android-master,mixed component licenses documented in LICENSE,behavioral/build reference only; no bundled component reuse
tor-wave-14,tor-controller-master,Apache-2.0 top-level; large vendored dependency tree,primary-source concepts only; vendored code not reused
tor-wave-14,tor-ramdisk-master,GPLv3,no source reuse; operational/negative evidence only
tor-wave-14,torflow-main,BSD-style,measurement/evaluation reference only
tor-wave-14,torps-master,BSD-style/custom US Government notice,research/evaluation reference only
tor-wave-14,torsocks-main,GPLv2,no source reuse; behavioral guardrails/test ideas only
tor-wave-14,tun2tor-master,MIT,concept/adaptation permitted with attribution; no donor packaging copied
tor-wave-14,txtorcon-main,MIT,protocol/test evidence may inform independent target-native implementation
post-refactor-20b,serenity-dev,GPL-3.x,no direct source reuse; independently rederive concepts/tests only
post-refactor-20b,shadow-main,BSD-style,source reuse legally possible with attribution; this release uses evaluation/reference semantics only
post-refactor-20b,shadowsocks-libev-master,GPL-3.x,no direct source reuse; protocol/reference evidence only
post-refactor-20b,simple-obfs-android-master,GPL-3.x,no direct source reuse; packaging/lifecycle reference only
post-refactor-20b,sing-box-dashboard-main,GPL-3.x plus project naming/association restriction,no direct source reuse; UI/protocol concepts only
post-refactor-20b,sing-box-dev-next,GPL-3.x plus project naming/association restriction,no direct source reuse; mechanism/test evidence only
post-refactor-20b,sing-box-extended-extended,GPL-3.x,no direct source reuse; mechanism/negative evidence only
post-refactor-20b,sing-box-for-android-dev,GPL-3.x,no direct source reuse; Android lifecycle/negative evidence only
post-refactor-20b,sing-cloudflared-main,GPL-3.x,no direct source reuse; protocol/negative evidence only
post-refactor-20b,tun2proxy-master,MIT,direct reuse permitted with attribution; target-native adaptation chosen to preserve existing authority
post-refactor-20b,tun2socks-main,MIT,direct reuse permitted with attribution; target-native adaptation chosen to preserve existing NAT owner
post-refactor-20b,tun2socks-python-main,MIT plus vendored pybind11 separate license,binding concepts only; embedded tun2socks-go semantics deduplicated against tun2socks-main
post-refactor-20b,uquic-master,MIT,direct reuse permitted with attribution; reference only because target retains quic-go owner
post-refactor-20b,vanguards-master,MIT,direct reuse permitted with attribution; Tor-defense reference only
post-refactor-20b,water-master,Apache-2.0,direct reuse legally possible with notice; executable transport-module authority rejected
post-refactor-20b,water-rs-main,Apache-2.0 OR MIT,direct reuse legally possible under chosen license; executable transport-module authority rejected
post-refactor-20b,website-master,Tor Project BSD-style plus bundled third-party notices,measurement/reference evidence only; no legacy deployment reuse
post-refactor-20b,websocket-main,BSD-style,direct reuse legally possible with attribution; target-native adaptation chosen
post-refactor-20b,wgsocks-main,GPL-3.x,no direct source reuse; WireGuard/SOCKS reference only
post-refactor-20b,wsnet-master,GPL-2.0,no direct source reuse; API/lifecycle/negative evidence only
