record_id,donor,value_unit,source_path,disposition,target_nodes,negative_invariant
PR235-S052,tor_atlas,relay map/geographic visualization,js/views/aggregate/map.js,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,map location never becomes endpoint-selection authority
PR235-S053,tor_atlas,relay details flags/bandwidth/country panel,templates/details/router.html,reference-only,src/packages/control-ui/src/pages/Operations.tsx,presentation does not imply trust
PR235-S057,proxybridge,proxy self-loop exclusion,Linux/src/ProxyBridge.c,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,compiler does not install filters
PR235-S058,proxybridge,kernel/system-extension interception authority,MacOS/ProxyBridge/ProxyBridge.xcodeproj/project.pbxproj,rejected-with-reason,governance/convergence/post-refactor-235-security-model.md,no kernel extension/driver install
PR235-S061,simplednscrypt,DNSSEC/no-log/no-filter resolver traits,SimpleDnsCrypt/Models/AvailableResolver.cs,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,traits never imply source trust
PR235-S062,simplednscrypt,fallback resolver configuration,SimpleDnsCrypt/ViewModels/FallbackResolversViewModel.cs,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,donor UI fallback is not imported as runtime mutation
PR235-S063,simplednscrypt,local blacklist management,SimpleDnsCrypt/ViewModels/AddressBlacklistViewModel.cs,superseded,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,no second blacklist persistence authority
PR235-S064,skivpn,profile refresh interval and expiry,lib/app/modules/profile_manager.dart,hardened,src/apps/daemon/internal,stale profile cannot silently remain fresh
PR235-S065,skivpn,subscription traffic/quota metadata,lib/app/modules/profile_manager.dart,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,metadata never grants routing authority
PR235-S066,skivpn,preserve current proxy across profile refresh,lib/app/modules/profile_manager.dart,hardened,src/apps/daemon/internal,refresh cannot silently activate unrelated proxy
PR235-S067,skivpn,VPN start/restart timeout lifecycle,lib/app/local_services/vpn_service.dart,hardened,src/apps/daemon/internal/runtime,no duplicate VPN authority imported
PR235-S068,skivpn,update channel plus SHA-256 metadata,lib/app/modules/auto_update_manager.dart,hardened,src/apps/daemon/internal/foundation,channel metadata alone cannot authorize install
PR235-S069,skivpn,persisted cookies/localStorage board sessions,lib/app/modules/board_session_persistent_manager.dart,rejected-with-reason,governance/convergence/post-refactor-235-security-model.md,no general session-cookie/localStorage authority imported
PR235-S070,skivpn,legacy AES-CBC profile decryption,lib/app/utils/profile_decrypt_utils.dart,reference-only,governance/convergence/post-refactor-235-security-model.md,no new weak encrypted-profile format is introduced
PR235-S075,whitedns_android,auto-tune inputs,app/src/main/java/shop/whitedns/client/model/WhiteDnsAutoTune.kt,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,planner cannot mutate system/network settings
PR235-S076,whitedns_android,advanced TOML settings import preview,app/src/main/java/shop/whitedns/client/model/AdvancedSettingsTomlImport.kt,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,text import cannot bypass canonical config admission
PR235-S077,whitedns_android,Quick Settings tile/operator affordance,app/src/main/java/shop/whitedns/client/quicksettings/WhiteDnsTileService.kt,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,UI tile never becomes independent runtime owner
PR235-S078,whitedns_android,bundled StormDNS/tun2socks installers,app/src/main/java/shop/whitedns/client/storm/StormDnsBinaryInstaller.kt,superseded,governance/convergence/post-refactor-235-security-model.md,no parallel binary installer/runtime authority
PR235-S081,whitedns_cleanip,unknown DNS truth must not become clean,internal/dnsscan/truth.go,hardened,governance/convergence/post-refactor-235-security-model.md,unknown is never promoted to clean/pass
PR235-S082,whitedns_cleanip,scanner preflight wait/status phases,internal/scanner/preflight.go,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_235_plans.go,preflight warning cannot silently start scan
PR235-S084,whitedns_cleanip,speed-rank evidence,internal/scanner/speedrank.go,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,speed alone never grants endpoint eligibility
PR235-S085,whitedns_cleanip,resource/file-descriptor bounds,internal/scanner/resources.go,hardened,governance/convergence/post-refactor-235-security-model.md,resource tuning cannot exceed target hard limits
PR235-S086,whitedns_cleanip,pause/stop cancellation,internal/scanner/pause.go,hardened,governance/convergence/post-refactor-235-state-machines.md,cancelled generation cannot publish late results
PR235-S087,whitedns_cleanip,config-maker UX,config maker/config_maker.py,reference-only,governance/convergence/post-refactor-235-semantic-ledger.csv,config-maker is not a write authority
PR235-S088,whitedns_cleanip,router/rules persistence engines,internal/router/persistence.go,superseded,src/apps/daemon/internal/runtime,no donor router/rule store imported
