record_id,donor,value_unit,disposition,target_capability,target_nodes,test_node,claim_boundary
PR229-S077,my-relay-assets-main,claimed ZIP is actually HTML,guardrail-derived,artifact type admission,src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go#BuildArtifactAdmissionPlan;src/packages/control-ui/src/pages/Operations.tsx#ArtifactAdmissionPlanner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestArtifactAdmissionRejectsHTMLMasqueradingAsZIP,a filename extension cannot grant archive/install authority
PR229-S078,my-relay-assets-main,unverified arbitrary URL download workflow,guardrail-derived,artifact type/hash admission,src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go#BuildArtifactAdmissionPlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestArtifactAdmissionRejectsHTMLMasqueradingAsZIP,successful curl/download cannot establish type or trust
PR229-S079,my-relay-assets-main,download then contents:write auto-commit workflow,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S080,my-relay-assets-main,nested MITM source archive,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S081,my-relay-assets-main,component match lattice: empty/possible/unlikely/impossible,adapted,TLS interception evidence,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go#BuildTLSInterceptionEvidencePlan;src/packages/control-ui/src/pages/Health.tsx#TLSInterceptionEvidencePlanner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTLSInterceptionEvidenceSeparatesMismatchGradeAndPFS,compatibility evidence cannot identify a MITM product
PR229-S082,my-relay-assets-main,security-grade regression and PFS-loss evidence,adapted,TLS interception evidence,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go#BuildTLSInterceptionEvidencePlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTLSInterceptionEvidenceSeparatesMismatchGradeAndPFS,read-only evidence cannot install a CA or intercept traffic
PR229-S083,my-relay-assets-main,weak-cipher anomaly evidence,adapted,TLS interception evidence,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go#BuildTLSInterceptionEvidencePlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTLSInterceptionEvidenceSeparatesMismatchGradeAndPFS,weak-cipher evidence cannot identify who modified a connection
PR229-S084,my-relay-assets-main,historical fingerprint database and PCAP corpus,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S085,my-relay-assets-main,bundled v2rayN Debian package,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S086,my-relay-assets-main,relay asset catalogue README,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S087,MasterHttpRelayVPN-RUST-main,per-endpoint daily quota safety reserve,adapted,endpoint quota safety,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#BuildEndpointPoolPlan;src/packages/control-ui/src/pages/Operations.tsx#EndpointPoolPlanner,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan_test.go#TestPostRefactor229QuotaSafetyBufferReservesHeadroom,quality scoring cannot consume the reserved safety buffer
PR229-S088,MasterHttpRelayVPN-RUST-main,rolling reset timestamp evidence,adapted,endpoint quota safety,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#BuildEndpointPoolPlan,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan_test.go#TestPostRefactor229QuotaSafetyBufferReservesHeadroom,planner cannot invent or reset provider quotas
PR229-S089,MasterHttpRelayVPN-RUST-main,persisted global/per-account hard-stop tracker,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S090,MasterHttpRelayVPN-RUST-main,request/response sequence correlation,adapted,relay response correlation,src/apps/daemon/internal/integrations/relayclient/relay_wire.go#validateRelayResponseSequence;src/apps/daemon/internal/integrations/relayclient/gsa_relay.go#GsaTunnelConn,src/apps/daemon/internal/integrations/relayclient/gsa_relay_test.go#TestPostRefactor229GSARejectsMismatchedResponseSequence,a mismatched sequence cannot be accepted as the current response
PR229-S091,MasterHttpRelayVPN-RUST-main,failed write reuses write sequence on retry,adapted,relay write retry correlation,src/apps/daemon/internal/integrations/relayclient/gsa_relay.go#sendRequest,src/apps/daemon/internal/integrations/relayclient/gsa_relay_test.go#TestPostRefactor229GSAWriteSequenceRollsBackOnFailedTransmission,failed transmission cannot advance logical write order
PR229-S092,MasterHttpRelayVPN-RUST-main,HTML/non-JSON relay control response has ambiguous causes,adapted,relay control diagnostics,src/apps/daemon/internal/integrations/relayclient/http_bounds.go#relayControlDecodeError,src/apps/daemon/internal/integrations/relayclient/http_bounds_test.go#TestPostRefactor229RelayControlDecodeClassifiesHTMLWithoutOverclaimingCause,HTML response cannot be over-attributed to authentication or quota alone
PR229-S093,MasterHttpRelayVPN-RUST-main,QUIC/STUN/DoH/IPv6 leak-guard evidence,adapted,tunnel safety leak guards,src/apps/daemon/internal/analysis/diagnostics/tunnel_safety_plan.go#BuildTunnelSafetyPlan;src/packages/control-ui/src/pages/Health.tsx#TunnelSafetyPlanner,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTunnelSafetyRequiredLeakGuardsDegradeConnectedState,connected transport cannot imply leak protection for an unevidenced guard
PR229-S094,MasterHttpRelayVPN-RUST-main,Android allowed/disallowed application mode limitations,hardened,split-tunnel admission truth,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go#BuildSplitTunnelPlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestSplitTunnelRejectsInertOrAmbiguousIntent,planner cannot claim Android VPN enforcement
PR229-S095,MasterHttpRelayVPN-RUST-main,shutdown must cancel child tasks,guardrail-derived,relay lifecycle,src/apps/daemon/internal/integrations/relayclient/gsa_relay.go#Close,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-relay-lifecycle,child tasks cannot outlive their owning connection by design intent
PR229-S096,MasterHttpRelayVPN-RUST-main,first payload piggyback/connect_data optimization,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S097,MasterHttpRelayVPN-RUST-main,adaptive empty-poll depth and legacy long-poll detection,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S098,MasterHttpRelayVPN-RUST-main,bounded control-body/backpressure discipline,hardened,relay response bounds,src/apps/daemon/internal/integrations/relayclient/http_bounds.go#readBoundedRelayControlResponse,src/apps/daemon/internal/integrations/relayclient/http_bounds_test.go#TestReadBoundedRelayControlResponseRejectsOversize,data-plane scale cannot justify unbounded control JSON
PR229-S099,MasterHttpRelayVPN-RUST-main,empty polls must not indefinitely extend server session life,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S100,MasterHttpRelayVPN-RUST-main,parallel HTTP/1.1 and HTTP/2 prewarm/fallback,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S101,MasterHttpRelayVPN-RUST-main,fronting group presets and SNI/IP candidate composition,hardened,gateway/SNI composition,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go#BuildGatewayCompositionPlan,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-fronting-owner,preset content cannot create network authority or freshness claims
PR229-S102,MasterHttpRelayVPN-RUST-main,SNI candidate scanning/rotation/cooldown,superseded,SNI qualification,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-sni-owner,donor scanner cannot bypass target qualification
PR229-S103,MasterHttpRelayVPN-RUST-main,fronting IP scan/ranking,superseded,endpoint scoring,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go#BuildEndpointPoolPlan,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-ip-owner,scanner side effects cannot become implicit scoring authority
PR229-S104,MasterHttpRelayVPN-RUST-main,Apps-Script-to-tunnel-node full tunnel runtime,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S105,MasterHttpRelayVPN-RUST-main,TCP/UDP/udpgw relay server,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S106,MasterHttpRelayVPN-RUST-main,local CA installation and MITM mode,rejected-with-reason,read-only TLS interception evidence boundary,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go#BuildTLSInterceptionEvidencePlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTLSInterceptionEvidenceSeparatesMismatchGradeAndPFS,"the target cannot install a CA, intercept traffic, or identify an interception product"
PR229-S107,MasterHttpRelayVPN-RUST-main,active TLS interception runtime,rejected-with-reason,read-only TLS interception evidence boundary,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go#BuildTLSInterceptionEvidencePlan,src/apps/daemon/internal/analysis/diagnostics/post_refactor_229_plans_test.go#TestTLSInterceptionEvidenceSeparatesMismatchGradeAndPFS,"the target planner performs no interception, CA installation, network I/O, or product attribution"
PR229-S108,MasterHttpRelayVPN-RUST-main,relay response cache and byte-budget eviction,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S109,MasterHttpRelayVPN-RUST-main,configuration migration preserves original on conversion,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S110,MasterHttpRelayVPN-RUST-main,remote update check/release flow,superseded,signed update admission,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#VerifySignedManifest,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-update-owner,remote version availability cannot authorize installation
PR229-S111,MasterHttpRelayVPN-RUST-main,foreground VPN-service lifecycle ordering,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S112,MasterHttpRelayVPN-RUST-main,iOS PacketTunnelProvider integration,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S113,MasterHttpRelayVPN-RUST-main,tunnel-node container/service deployment,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S114,MasterHttpRelayVPN-RUST-main,release workflow and per-artifact publishing,reference-only,n/a,n/a,n/a,donor packaging does not gain target authority
PR229-S115,MasterHttpRelayVPN-RUST-main,DNS/DoH resolution and cache behavior,superseded,DNS policy,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go#BuildDNSResolutionPolicyPlan,scripts/checks/check_post_refactor_229_convergence.py#masterhttp-dns-owner,relay/fronting DNS code cannot silently become host resolver authority
