donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
MullvadVPN-Tricks-main,MullvadVPN-Tricks-main.zip,849349485bbe407085a17ec4f36de86587712c98576919684d35393d8c7b4ed1,10,9,2,0,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
RealiTLScanner-main,RealiTLScanner-main.zip,b9b1b8203bf52378b44238fa36982fccc50bad28c1dc7cfbf75893b740fa511d,11,10,2,19,0,MPL-2.0,file-level copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
aces-main,aces-main.zip,8267a8dfce19c526e30a2686d92587574f9b1bc8f86fcc53716635bbc6549fd0,15,11,5,66,0,BSD-like US Government permissive,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
bldfrm-vpn-main,bldfrm-vpn-main.zip,e4fa35fd121db66b4868c656f529b67b44a974746fe534e97b010b93b08da4d0,2,1,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
dns_over_tls_over_tor-master,dns_over_tls_over_tor-master.zip,941fb5e729e3e7d0d15e117120e01184b71e4e6cd2a22177d6df8b1180c93a3b,8,7,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
fptn-manager-master,fptn-manager-master.zip,d73806f28e952c4741e4643e7d40084f51aa2e28b865b8672181abea34e8424e,5,4,2,0,0,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
fswatch-main,fswatch-main.zip,c1f50bd32a14ef958b1a85b96b95feb14f968afb9a9a2b22eb861a7b3efd3767,15,12,4,12,0,GPL-3.0-or-later,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
iptables-mod-randmap-master,iptables-mod-randmap-master.zip,4da69f915375d7ef89c199849656d25c0fc607cbaf8c917afc6f552f8cd24f54,14,10,5,32,0,GPL-2.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
mullvad-browser-main,mullvad-browser-main.zip,abcb3fa8aed9d0da0b1b881d639cdeaf5293c2d773de6f6c8d0d4a29d2df4418,14,9,6,1,0,MPL-2.0 (README claim; archive lacks license file),file-level copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
mullvad-closest-main,mullvad-closest-main.zip,9c149d9b94507c47e0e9116dd716f8c492a6f24643fbc39502ea0fee1ad25a11,12,10,3,24,0,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
mullvad-proxy-main,mullvad-proxy-main.zip,628573fd1b8e699583ab91034449584c7635fb7a1dad862424aabc2b1f6bbad6,16,12,5,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
onionsphinkter-production,onionsphinkter-production.zip,3437f25da54170fbbc2d430eff6138b20f4be8b8de7df2a2d3af75bf36485ba5,19,13,7,86,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
php-proxy-app-master,php-proxy-app-master.zip,e3984f1a11c8c18ac5ec83a800827b36b8066e78b793c2299f3ea9cecb3b6e67,18,13,6,13,0,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ptnettools-main,ptnettools-main.zip,666e6be56e623f97d8d9ef1a0a4f9e546fee43005712d83189eee63901ee047f,10,9,2,56,0,CC0-1.0,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
smart-vpn-ec2-manager-main,smart-vpn-ec2-manager-main.zip,db84fcc0605edf3a8ac31e538641ced2d6421ff2fac169a3758c3af0f4c84bdc,8,8,3,4,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction; nested payload ZIP independently opened and hashed,fully reviewed; semantics in ultimate-pass ledger,1
the-onion-diaries-master,the-onion-diaries-master.zip,c5fffd3fdff3e4ee70b97441de568119118840d637b8930d90e480a46264c26d,4,3,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
tor-relay-bootstrap-master,tor-relay-bootstrap-master.zip,f7fa26dd2c2f232835a5fdc1307888f0da4c84847254de21d520a57fcedaf3c4,17,9,9,0,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
tor.rb-master,tor.rb-master.zip,8ffd688cec3a24850b9eece25dbd279efe4c9be331b9f6dbaa47e96e25d5ab2f,31,25,7,43,1,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
tor_box-master,tor_box-master.zip,5a85c8859de7f810ffa3645b1097f09b25bd8b3961ee33a772a3872341049e4e,4,3,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
torget-main,torget-main.zip,134192f318dd6d68991326fefe70e654d87cc13cb5b9e0537ddfb18c2da36302,6,5,2,18,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
