plane,representative_donors,evidence_paths,evidence_sha256,current_target_owner,disposition,decision_rationale,invariant,residual_gap,validation_status
network quality diagnostics,defyxVPN-main(1),defyxVPN-main(1):lib/modules/speed_test/application/services/latency_measurement_service.dart;defyxVPN-main(1):lib/modules/speed_test/application/services/results_calculator_service.dart,e03323447c4cd8151404b235988a2e1b1191b8438acdc9b425701c40a36497b0;d87c2e17c3d5eca7e00b52a519c5a4af93d8049a96366ab980f9d6b534a6cf81,src/apps/daemon/internal/adapters/api/speedtest_runner.go;src/apps/daemon/internal/adapters/api/speedtest_metrics.go,recomposed,"Defyx quality/stability semantics were recomposed into bounded LumiNet diagnostics: median latency, min ping, adjacent-sample jitter, packet loss, stability and strict response/redirect byte budgets.","diagnostics must remain bounded, cancellable and non-authoritative",No upload benchmark plane is added without a safe endpoint/side-effect contract.,verified
Tor lifecycle and identity rotation,Auto_Tor_IP_changer-master(2);torrequest-master,Auto_Tor_IP_changer-master(2):autoTOR.py;torrequest-master:torrequest.py,4b038019570e14694b637fe8b80a3344425361bb6732492b29aa0ceac22eebe8;a7b7734d525920774c919477d7bf120f19a4ac1d734b9cb89bf07c1cfdaf8901,src/apps/daemon/internal/platform/system/tor_controller.go;src/apps/daemon/internal/platform/system/tor_guard_rotation.go;src/apps/daemon/internal/platform/system/tor_process.go,superseded-by-canonical-tor-owner,"Simple restart/NEWNYM loops are subsumed by LumiNet’s bounded Tor controller, process owner, circuit management and guard rotation. Another timer loop would weaken lifecycle/recovery ownership.",Tor identity changes occur through the canonical controller/process lifecycle and remain bounded/cancellable,No independent auto-IP loop is retained.,reviewed
packet/DPI evasion mechanisms,GoodbyeDPI-master,GoodbyeDPI-master:src/goodbyedpi.c;GoodbyeDPI-master:src/fakepackets.c,7d686029ef4a2f5480f8d4b30241c0781b1c2962e755e4aa77aba164b741ab1c;b43905a75650102a73724a2c517fb6a8253d325ae99c12870d1a80c24be5999e,src/apps/daemon/internal/runtime/proxy/evasion_contract.go;src/apps/daemon/internal/runtime/proxy/evasion_tunnel.go,superseded-and-reference,"GoodbyeDPI and related peers provide rich packet manipulation primitives, but LumiNet already has a cross-platform target-native evasion contract with platform adapters. Donor-specific raw packet engines remain evidence unless a discriminating target gap is proven.",all packet mutation must stay behind the target evasion contract and platform capability truth,Some donor tricks remain platform-specific reference material rather than claimed equivalence.,reviewed
root deployment/bootstrap installers,x-ui-pro-master;V2ray-for-Doprax-main(1),x-ui-pro-master:x-ui-pro.sh;V2ray-for-Doprax-main(1):Dockerfile,a88f6e4f3ceb29307ca3196fe13aaf09a2b5c4dac78fa84976179945992ec710;903aa3b613ae63ccb28590f944f2335423701edee2347cbd494b6a838a857872,n/a,guardrail-and-reference-only,"Peer bootstrap scripts mix package installation, remote downloads, root mutations, certificates, cron and service changes. Some are unlicensed or non-transactional. They are retained as operational evidence, not imported as a privileged deployment authority.","deployment mutation must be reproducible, bounded, attributable and reversible where possible; remote scripts never gain authority by convenience",LumiNet still lacks a target-native replacement for every peer one-command VPS installer; this is deliberate.,reviewed
OAuth/social login middleware,gologin-main,gologin-main:context.go;gologin-main:README.md,efe61f4fceba2d84b051ed8137d2ba515f3f7ddf703f88665908f1378721daeb;7ead4a7a5c6dc8e2c18c08866fe1a6f6147c9f5a468bf0cc1f1a29dc05b317f5,src/apps/daemon/internal/adapters/api/middleware.go;src/apps/daemon/internal/adapters/api/router.go,reference-only-no-current-identity-need,"gologin demonstrates composable OAuth state/context handlers, but LumiNet’s control API is local privileged authentication and has no current social-login identity requirement. Adding provider OAuth would widen the identity/trust model rather than improve present authorization.",identity mechanisms are introduced only for an explicit actor/product need and must not weaken privileged local control auth,No social OAuth/OIDC login plane is claimed.,reviewed
geodata and crypto data ownership,openssl-cffi-master;sing-geoip-main;sing-geosite-main,openssl-cffi-master:openssl-cffi.py;sing-geoip-main:main.go;sing-geosite-main:main.go,9f10e0981502239af9a629ffdb110130d0791e184945405aa4ad8c972128675d;6ac3e24cd7efe87b5a14b5899d3294d093ed75a74c333b34ee17cc63ed40a1b1;4405a18494c997b253f40be798b9b153a7206f341ddda1e4bb390943c3454f96,src/apps/daemon/internal/foundation/crypto;src/apps/daemon/internal/networking/geoip;src/apps/daemon/internal/networking/routing/domain_data,superseded-by-existing-high-assurance-owners,Peer crypto/geodata mechanisms were already converged in earlier waves. Final re-audit found no primitive that justifies replacing LumiNet’s native crypto boundary or canonical geodata/routing owners.,cryptographic and routing data have one authoritative implementation/source path with explicit provenance,External dataset refresh remains subject to existing admission/provenance controls.,reviewed
proxy client catalogs and presets,Proxy-client-collection-main,Proxy-client-collection-main:README_en.md,4855f57c7c1c33421b515f47487ea6c5d493ad8ceacd2e28345a79b4f977371e,src/apps/daemon/internal/integrations/sub/profile_service.go;src/apps/daemon/internal/runtime/proxy/core_manager.go,reference-and-preset-evidence,Client catalogs provide compatibility/product discovery value but do not justify a new runtime authority. Supported configuration/protocol value is absorbed only through LumiNet profile parsing and canonical proxy cores.,catalog popularity is not runtime correctness evidence; imported presets cannot bypass schema/compatibility checks,Some catalog-only clients remain reference material.,reviewed
offensive/persistence/interception safety-veto surfaces,DNS-Persist-master;ftpscan-master;InterceptSuite-main,DNS-Persist-master:Agent/Agent/DNSCommunication.cpp;ftpscan-master:ftpscan.c;InterceptSuite-main:README.md,5a0a4a9f1b46741509da96c1e96487f4b8b4fe53879f9c1937ed715825048230;c50b53b906b1877d7e458b86d3fdd761e0432b198ce839182ca1ee4b8ff305d5;8c0e40dabbe08e1d5b8f758f481c7e108744f49cfe86035476ad0cebaac3ecec,n/a,rejected-production-capability,"DNS command-and-control persistence, FTP-bounce scanning and interception/MITM surfaces remain negative/security evidence only. They do not become LumiNet production capabilities during convergence.",negative evidence may create tests/guardrails but cannot silently broaden production authority into offensive or covert capability,None; rejection is intentional and final for this scope.,reviewed
Tor client pluggable-transport plane,ptnettools-main,ptnettools-main:ptnettools-main/lyrebird.py;ptnettools-main:ptnettools-main/snowflake.py;ptnettools-main:ptnettools-main/webtunnel.py,61f2bbe6089f0dfb43419dd7523975a5b551e3ea2a12b5cef13be2a1a5d1973b;75bae604454e682bdb0ac4e882abd47de9a970338d61e2355404bcde3635c006;98f25d989b20b270318e0b8c9d4651466c59086dd72b0c5b1bbadac2f7fc0e4a,src/apps/daemon/internal/runtime/runtimecore/manager.go;src/apps/daemon/internal/runtime/runtimecore/adapters.go;src/apps/daemon/internal/platform/system/tor_config_builder.go,adopted-and-hardened,Three donor transport experiments converge into one registered client PT contract with narrow process authority and environment preflight.,"untrusted API input chooses only registered transport semantics, never arbitrary binaries/flags; replacement happens only after successful preflight",Actual PT binary execution cannot be exercised in this offline container; availability is fail-closed and package-harness verified.,verified
encrypted DNS privacy plane,dns_over_tls_over_tor-master;tor.rb-master,dns_over_tls_over_tor-master:dns_over_tls_over_tor-master/stubby.yml;tor.rb-master:tor.rb-master/lib/tor/dnsel.rb,8bbb83142f5eba4084d1c96b2123e6ee37d7594853666e1c70b8a0a3938acb6a;3fe4ac49b173574fe705052cbf581f0d1a015460cad8fd6bb633345f716908ec,src/apps/daemon/internal/networking/dns/resolver.go;src/apps/daemon/internal/analysis/diagnostics/tor_exit_check.go;src/apps/daemon/internal/adapters/api/handlers_tor_ops.go,inspired-native-and-hardened,External DoT-over-proxy composition and DNSEL semantics become a native authenticated encrypted-DNS path with explicit unknown diagnostics and optional active Tor SOCKS.,privacy proxy errors fail closed; DNSBL loopback data is evidence only; NXDOMAIN remains distinct from resolver failure,Real upstream DoH/DoT exchanges are not executed in the offline/local-toolchain environment.,statically-validated
filesystem observation plane,fswatch-main,fswatch-main:fswatch-main/watcher.go,6b830ffa21157fe833f6de24e8dd9957468f2511050f20c0060011ddd80ba811,src/apps/daemon/internal/platform/system/file_watcher.go;src/apps/daemon/internal/runtime/proxy/config_watcher.go,extracted-and-hardened,"Atomic replacement semantics are consolidated behind one canonical watcher primitive; the runtime adapter deliberately owns notifications, not automatic reconciliation.",parent-directory watch survives rename publication; exact paths/debounce bound notifications,No production config auto-reconciliation owner currently consumes the adapter; promotion remains intentionally dormant to avoid split-brain runtime state.,verified
endpoint quality evidence plane,mullvad-closest-main;RealiTLScanner-main,mullvad-closest-main:mullvad-closest-main/mullvad_closest/utils.py;RealiTLScanner-main:RealiTLScanner-main/scanner.go,4a45cc3e85762adc0056a149b566a04e7e7959f8b31e52bcf12644d46a6d192b;8d3fc059e895930dc7faa9a81b92877e8ba52550d53193e4fddad52bb86791af,src/apps/daemon/internal/runtime/proxy/node_latency_tester.go;src/apps/daemon/internal/analysis/scanner/probe_pipeline_utils.go,extracted-not-promoted,Robust loss/median/jitter and richer TLS peer metadata are available as evidence primitives but not falsely promoted to live routing authority.,"measurement evidence stays bounded, explicit and separable from route selection authority",A live endpoint selector can consume the quality contract only after comparative production measurements and ownership review.,verified
Tor server/relay plane,tor-relay-bootstrap-master;tor_box-master;the-onion-diaries-master,tor-relay-bootstrap-master:tor-relay-bootstrap-master/bootstrap.sh;tor_box-master:tor_box-master/installtorwithrelay.sh;the-onion-diaries-master:the-onion-diaries-master/basic-production-onion-server.md,9e5b79ef57e6fbe2ac63ef217c6078832ec6ef84ab2a0875087d57634bcae716;0251a667f7380d325f9447229c21e98cb0546b928478f076409a1ea5ef4d9a76;105b2aa12d4e5f8a29accdb67df1d4a594ecc234bf4aabad6b80865823a08b13,src/apps/daemon/internal/runtime/runtimecore/manager.go,role-mismatch-reference,Server relay/hidden-service deployment remains outside the client-engine role instead of becoming hidden root/firewall authority.,client Tor runtime owns client subprocess/circuit behavior only,No server/relay product plane is requested or safely owned by LumiNet.,reviewed
browser anti-fingerprinting plane,mullvad-browser-main,mullvad-browser-main:mullvad-browser-main/README.md,01f50e6177cb5de00cf150dfcabdc1bad36fe32f0e007fa16907494e34ae9693,n/a,reference-only,The archive is release metadata/readme rather than browser source and LumiNet has no browser execution surface.,browser privacy must have a browser-owned implementation and test surface,Network privacy does not provide browser-fingerprint protection; no false capability is advertised.,reviewed
privileged firewall/NAT plane,iptables-mod-randmap-master;mullvad-proxy-main;MullvadVPN-Tricks-main,iptables-mod-randmap-master:iptables-mod-randmap-master/xt_RANDMAP.c;mullvad-proxy-main:mullvad-proxy-main/setup.sh;MullvadVPN-Tricks-main:MullvadVPN-Tricks-main/nomullvad-autokill,0c0291a09c5d10973b8b7fd77e5ae26dd4d53b3578e3cdd3f7957efc9f98233c;5176de4390f9ba05014114b662dcef5bcce2ba4826c0598180a218ec47134f61;10f0a9266d1297a19ea71219623853dd171229af243c74b7bf95d462c47bb7c4,src/apps/daemon/internal/platform/system/host_network.go,guardrail-derived,Peer raw firewall/NAT/kill-switch mechanisms are explicitly rejected as parallel authority; the transactional HostNetworkChange model remains stronger.,"privileged network changes require snapshot, verification, recovery and rollback ownership",Unix DNS-leak/firewall features remain unsupported until representable inside that transaction model.,reviewed
ephemeral cloud/deployment lease plane,smart-vpn-ec2-manager-main;fptn-manager-master,smart-vpn-ec2-manager-main:smart-vpn-ec2-manager-main/index.py;fptn-manager-master:fptn-manager-master/fptn-manager.sh,1394a14972a5a364f75740a68a705203b708be593f7deb3cd7cb16f680f648b4;5c167e318bfd455f571bff0bfef323b1cd6640fc74ed3d45362e7a30ef504d03,n/a,reference-only,"Auto-stop/lease intent is useful, but hard-coded cloud identity and root/Docker managers are not safe target deployment authority.","ephemeral infrastructure requires explicit identity, idempotent lease/teardown, audit and rollback",No new cloud deployment owner is introduced in this wave.,reviewed
