path,change_type,baseline_sha256,current_sha256,accountability_class,finding_ids,reason
src/apps/daemon/internal/integrations/sub/.context,modified,1896996e6a778230a0f253c30262cd75a534e4a19827ffd2aeff0addf3052311,c6f7acb8cc306940407806672baf75cadca3e4a2a1dd1b14bba15fa096f6f62e,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/networking/dns/.context,modified,5a5b620a6280cf50403da1fbf706a7c58d0a1b888fcf22b2e35dfb8a750cef25,4230b6f012792ccb9a845efa1d543b11b773e9bb0b9471f0bd166d68a3d00ced,generated-context,F-006,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/networking/dns/doh_resolver.go,modified,5b31d467bb888843dbcfb8842b7aff8604228af8ea8e06778201a886bae34a59,c9680f8de205135ef4df11c342720be1018d50520bb8529d5812dc674cffe642,refactor/architecture,F-006,Remove zero-consumer shallow Failover DNS interface surface and refresh ownership context.
src/apps/daemon/internal/platform/system/.context,modified,76354f2cf795a7942619137eec52aaf9753eb07519f51b37b06fcebd03166757,811d408bd5043e18b460b5324d191bea8a0170cd15c8e08446b9253065c7c618,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/platform/system/admin_ssh.go,deleted,607a7e9e384d8c4980ae3aef2bde80322f1b7db9c7bd85a6d73ed4ee3c544c74,n/a,retirement,F-005,Retire proven-unconsumed duplicate privileged/shallow internal authority.
src/apps/daemon/internal/platform/system/nat/nat.go,modified,9c5f3f8babd0d6b39ed63ca5cba1ed7754e57589ba619b1027cd8275457b4d8b,ffd9d489f5826543171cfa60393bb12042b361b844338b853bceefde1b7d75a0,refactor/architecture,F-008,Resolve Go namespace collision while preserving live NAT listener type interface.
src/apps/daemon/internal/platform/system/nat/packet_defrag_test.go,modified,0f8fa515849905b2784ee846074bf63bfb3ef08b50859239a56c939b2ed64d4e,9672c6b54a288f402c014b94b274961f91827a61ce244d810ffa1e9b6fd96426,refactor/architecture,F-008,Resolve Go namespace collision while preserving live NAT listener type interface.
src/apps/daemon/internal/platform/system/nat/packet_ip.go,modified,7abdd73c7abc3525ef9d0438bc44fcefb969df56eae9be8d459b7f5492ec6989,d9a2e2f29ac3b3cecdb062fe50d63863586fc80ddf82a432ec82ec986e50c7b4,refactor/architecture,F-008,Resolve Go namespace collision while preserving live NAT listener type interface.
src/apps/daemon/internal/platform/system/nat/udp.go,modified,4abc8e566457160325a1633ce04d8c3d371b4acf5a61ee1129953f997bdbc544,8e09e13a38a14fa54402ab18bbd5e143db293c3dd9655decc16fa6ecb6ba0fd1,refactor/architecture,F-008,Resolve Go namespace collision while preserving live NAT listener type interface.
src/apps/daemon/internal/platform/system/tproxy_linux.go,deleted,bd9a52f89227bdc7d0ab196dc5af2af1a57bb77df163d999845576eced833fc0,n/a,retirement,F-005,Retire proven-unconsumed duplicate privileged/shallow internal authority.
src/apps/daemon/internal/runtime/proxy/.context,modified,4b69db31597cc0c5c5e556667cf3d70949456ade8cc39b752d0fe0d2d5e51277,9c3e253fd720602495fb0aeca6c10cae1afad3aae7bb65d65f40647bb94d496a,generated-context,F-012,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/runtime/proxy/wstunnel.go,modified,33db75349b5b0a65e810d3477437b795137c92561028a8064afa1788084dda76,326b532310ae1e5183a4e90cd896ab63eb88194be55241b61a4f7cb28afe48ce,refactor/architecture,F-012,Converge canonical relay adapter and PKI-or-explicit-pin TLS trust with regressions.
src/apps/daemon/internal/runtime/proxy/wstunnel_test.go,modified,149c56a2c4838bafd968b8e59deb8e0e673d7df299f2bc00e92fe8c2fcbd78b8,58306ea70a45734a6bf93726537f3f83f8b4af743df8d5f36699e6bb3d8959aa,refactor/architecture,F-012,Converge canonical relay adapter and PKI-or-explicit-pin TLS trust with regressions.
src/apps/daemon/internal/runtime/runtimecore/.context,modified,ae4004fbf8d5c43889aee0d1b9002017894c05f983c808f2bcec285e57e3d9aa,58eb43f623a66f8db933f1714dc628318a74796dd39a36e4d5abe7e2289be9c4,generated-context,F-003,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/runtime/runtimecore/manager.go,modified,e73d62d573b9ea79dd76b2247392f1a1c494c8fa9ac35921010f51a34fe02600,4933c2292ef62034beee72da3a326ced0fa3c130ae7d388b7743a7c58993cfb8,refactor/architecture,F-003,Transactional runtime engine replacement with previous-configuration restore.
src/apps/daemon/internal/runtime/runtimecore/manager_test.go,modified,f6ac580ec0e10390421ff8fbf13a3dadb17275e7d3605219f328a9908afebc3b,c0f576d0eb6b90bcf409eddc8d338b235986466508f46861938b3217224efe54,refactor/architecture,F-003,Transactional runtime engine replacement with previous-configuration restore.
src/apps/daemon/internal/runtime/warp/.context,modified,42d5a7390bf3e8c117e57ee8d09555b80a93b8f8845b103a2afede071e236a6f,1adc339910792bc770034a042914224859c8e763d1731f8f079fabd5205d1d2b,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/workflows/jobs/.context,modified,797d98efc1e5a2e08ee9886c97ec9422edd3a12f1bf6f9fef819a0437824aab0,3ba096d0d0eb04caa80c893b4ebe15e9abfe18fb3848dc01e5527ee61d2dc45e,generated-context,F-014,Regenerated source ownership/context after architecture refactor.
src/apps/daemon/internal/workflows/jobs/runner.go,deleted,6e84b6b94cad89fbd8ef8b4185ceb02294c49d65556831d12eeecf20bb352fd6,n/a,retirement,F-005,Retire proven-unconsumed duplicate privileged/shallow internal authority.
src/apps/daemon/internal/workflows/jobs/runners_provision.go,modified,31a3969f2d4420bb8ea529991406af5e70f1bb4e93c1e105febb20337891f990,0d75613878dd798ff1e4cc7766664387b86171775c4580473a13bb440368faae,refactor/architecture,F-001,Deepen provisioning progress by removing unused/racy subscriber lifecycle.
