record_id,donor,domain,value_unit,disposition,reversal_result,target_evidence,reversal_rationale,validation_status
SEM065,Aether,transport,MASQUE CONNECT-IP capsule parsing/tunnel,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem065,Target has no MASQUE transport authority; direct import would create a second transport stack.,reviewed
SEM066,Aether,transport,HTTP/2 MASQUE fallback,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem066,Transport-specific fallback retained as reference; no target H2-MASQUE plane.,reviewed
SEM067,Aether,transport,quiche MASQUE/QUIC client,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem067,Quiche-based transport would duplicate target networking authority and native stack.,reviewed
SEM068,Aether,evasion,fragmented stream adapter,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/protocols/tlsfragment/utls_fragment.go#WrapUTLSFragmentConn,LumiNet already has multiple fragmentation/evasion implementations and controls. Stronger target owner: target already owns fragmentation semantics.,reviewed
SEM069,Aether,evasion,noise traffic generator,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/decoy/manager.go#Manager,LumiNet already has decoy/noise/evasion ownership with cancellation and bounds. Stronger target owner: target decoy manager owns bounded noise lifecycle.,reviewed
SEM070,Aether,evasion,noise rate/range parser and generator,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/decoy/manager.go#Manager,Same responsibility already lives in target decoy/evasion owners. Stronger target owner: same target owner supersedes donor noise range parser/runtime.,reviewed
SEM071,Aether,tls,ECH retry configuration extraction,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem071,Useful ECH interoperability reference; target ECH implementation already owns TLS behavior and cannot be replaced without native tests.,reviewed
SEM073,Aether,cancellation,task kill-switch tree,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/workflows/jobs/manager.go#CancelJob;src/apps/daemon/internal/runtime/runtimecore/manager.go#Close,"LumiNet Go contexts/process supervisor and Rust task ownership already provide cancellation without another hierarchy. Stronger target owner: live job/runtime owners use context cancellation and explicit stop/close semantics, superseding a second kill-switch hierarchy.",reviewed
SEM074,Aether,binary-parsing,bounds-checked octet reader/writer,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem074,"Excellent parser oracle, but direct crate import would expand Rust dependency surface; target parsers keep local bounds checks.",reviewed
SEM075,Aether,transport-performance,batched datagram/GSO socket abstraction,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem075,High-performance QUIC datagram implementation is transport-specific; no measured target need justifies adoption.,reviewed
SEM076,Aether,transport-http3,HTTP/3/QPACK implementation,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem076,Full H3/QPACK authority retained for interoperability research; target does not own quiche H3 runtime.,reviewed
SEM077,Aether,transport-recovery,QUIC congestion/loss recovery suite,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem077,Cubic/Reno/PRR/BBR/BBRv2/pacing are valid transport references but inseparable from quiche packet/recovery model.,reviewed
SEM078,Aether,transport-pmtud,QUIC PMTUD state machine,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem078,PMTUD implementation is specific to quiche path state; retained as reference.,reviewed
SEM079,Aether,transport-migration,path validation/migration,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem079,QUIC path/CID migration is transport-specific and not a standalone target capability.,reviewed
SEM080,Aether,telemetry,QLOG schema/serialization,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem080,Useful standard telemetry reference; LumiNet keeps one existing evidence/telemetry schema instead of a second logging authority.,reviewed
SEM081,Aether,telemetry,Chrome NetLog conversion,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem081,Interoperability/export reference only; no target consumer currently needs NetLog.,reviewed
SEM082,Aether,telemetry-ui,QLOG visualization UI,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem082,Visualization reference only; target UI already has diagnostics/evidence surfaces.,reviewed
SEM083,Aether,test-oracle,QUIC fuzz corpus/harness family,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem083,Large fuzz corpus is valuable transport/parser evidence but does not map to target protocol owners without quiche equivalence.,reviewed
SEM084,Aether,async-transport,Tokio QUIC router/socket framework,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem084,Would duplicate target daemon/runtime networking plane and operational cost.,reviewed
SEM085,Aether,test-oracle,interactive HTTP/3 client/scenario runner,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem085,"Useful protocol test/oracle surface, not a target runtime module.",reviewed
SEM086,Aether,ffi,quiche C ABI,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem086,Target already has its own LumiCore ABI; importing quiche C ABI would broaden native compatibility surface.,reviewed
SEM088,goida-vpn-site,distribution,cross-donor updater/download plane,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem088,"defyx, Goida desktop and Goida site all expose updater/distribution UX, but target lacks signed code-download authority and rollback.",reviewed
SEM089,Aether,operator-config,environment/CLI configuration mutation,superseded,stays-non-live-after-target-recheck,src/apps/daemon/cmd/root.go#rootCmd,Aether maps CLI flags into process environment; LumiNet already has Cobra/config owners and should not add environment-as-authority side effects. Stronger target owner: Cobra/config owners supersede environment-as-authority mutation.,reviewed
SEM090,Aether,protocol-metadata,"Cloudflare MASQUE endpoints, ALPN, pins and anycast seeds",reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem090,Protocol constants and pins are valuable interoperability evidence but are vendor/time-sensitive and tied to Aether MASQUE transport.,reviewed
SEM091,Aether,error-model,structured Aether runtime error taxonomy,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/runtimecore/manager.go#ErrInvalidRequest;src/apps/daemon/internal/integrations/sub/egress.go#ErrUnsafeRemoteTarget,LumiNet already has target-owned structured errors and subsystem-specific error mapping; importing a donor-wide enum would flatten target ownership. Stronger target owner: errors remain owned by individual target modules rather than a donor-wide enum.,reviewed
SEM092,Aether,orchestration,"protocol selection, reconnect and peer hunting orchestration",superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/workflows/jobs/manager.go#JobManager;src/apps/daemon/internal/runtime/runtimecore/manager.go#Manager,"Aether monolith coordinates MASQUE/WireGuard/scanning/UI prompts; LumiNet already decomposes these responsibilities across workflows, profile service, scanners and runtime owners. Stronger target owner: target decomposes orchestration across live workflow/runtime owners.",reviewed
SEM093,Aether,cancellation,abort-handle forwarder guard,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/workflows/jobs/manager.go#CancelJob;src/apps/daemon/internal/runtime/runtimecore/manager.go#Close,"Abort-on-drop is a sound lifecycle primitive, but LumiNet already uses context cancellation and owner-scoped process/task lifetimes. Stronger target owner: live owner-scoped context/process lifetimes supersede an abort-forwarder hierarchy.",reviewed
SEM094,Aether,retry-policy,protocol reconnect/cooldown controls,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem094,Reconnect/cooldown values are useful operational reference but depend on Aether transport/prober timing and are not portable target constants.,reviewed
SEM096,Aether,http-proxy,bounded HTTP proxy head parsing and authority normalization,superseded,stays-non-live-after-target-recheck,src/apps/daemon/internal/runtime/proxy/https_connect_fragmentor.go#HTTPSConnectFragmentor;src/apps/daemon/internal/runtime/proxy/http_bounds.go#readBoundedProxyHTTPBody,Aether has a compact explicit-proxy parser with 16KiB head ceiling; LumiNet already owns HTTP/proxy routing and bounded remote-read policy. Stronger target owner: target proxy owners already enforce request parsing and bounded-read policy.,reviewed
SEM097,Aether,token-lifecycle,JWT expiry parsing and live-token reuse,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem097,"The expiry/cache predicate is sound and independently useful, but LumiNet has no current Cloudflare Access token authority or consumer.",reviewed
SEM098,Aether,identity-auth,service-token completeness and interactive Access login extraction,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem098,Cloudflare Access login/service-token mechanics are a coherent future capability but would add identity/token authority not currently needed by LumiNet.,reviewed
SEM099,Aether,platform-test,macOS platform transport/test harness,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem099,Platform-specific experimental harness is useful historical portability evidence but not a shipped target host contract.,reviewed
SEM100,Aether-GUI,desktop-host,tray/event/focus host integration,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem100,"Useful desktop affordance and atomic state reference, but LumiNet desktop host already uses Wails and should not gain a second Tauri host plane.",reviewed
SEM101,Aether-GUI,desktop-events,typed status/log event envelopes,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem101,Typed host events are useful product reference; LumiNet currently uses authenticated daemon/control-UI transport and should keep one event/state path.,reviewed
SEM102,Goida-AI-Unlocker,host-ux,hosts status/preview/apply/restore operator workflow,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem102,"The preview/status workflow is useful operator evidence, but LumiNet should expose host mutation through its existing authenticated diagnostics/system surfaces rather than a second GUI authority.",reviewed
SEM103,defyxVPN,mobile-ux,connection duration/status presentation,superseded,stays-non-live-after-target-recheck,src/packages/control-ui/src/store/systemStore.ts#useSystemStore,LumiNet already derives live connection/session status from daemon/service truth; donor UI timing stays presentation-only reference. Stronger target owner: connection presentation derives from daemon/system state.,reviewed
SEM104,defyxVPN,product-monetization,ad retry/error widget,rejected-with-reason,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem104,Advertising/monetization code is outside LumiNet product responsibility and adds unrelated tracking/network authority.,reviewed
SEM105,goida-vpn-configs,operator-errors,source fetch error normalization,reference-only,stays-non-live-after-target-recheck,governance/convergence/peer-validation.md#sem105,Concise source-specific diagnostics are useful reference; target subscription errors already preserve source context and safer fetch policy.,reviewed
