donor,module_id,module_role,module_disposition,rationale,file_count,bytes,languages,classes,semantic_record_ids,fourth_order_record_ids,current_module_disposition,review_rationale,review_status
Aether,aether-owner-lastconn,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM063.,1,785,rust,implementation,SEM063,FO-004,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM063 -> recomposed. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-mac_test,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM099.,1,340,rust,implementation,SEM099,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM099 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-main,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM092,SEM093,SEM094.",1,56507,rust,implementation,SEM092;SEM093;SEM094,n/a,resolved-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM092,SEM093,SEM094 -> superseded,superseded,reference-only. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-owner-masque,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM065.,1,11074,rust,implementation,SEM065,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM065 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-masque_h2,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM066.,1,22007,rust,implementation,SEM066,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM066 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-netstack,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM058.,1,30483,rust,implementation,SEM058,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM058 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-noize,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM069.,1,7009,rust,implementation,SEM069,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM069 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-prober,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM060.,1,21931,rust,implementation,SEM060,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM060 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-quic,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM067.,1,27596,rust,implementation,SEM067,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM067 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-routing,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM053,SEM057.",1,14104,rust,implementation,SEM053;SEM057,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM053,SEM057 -> guardrail-derived,rejected-with-reason. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-owner-socks,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM048,SEM049,SEM096.",1,48643,rust,implementation,SEM048;SEM049;SEM096,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM048,SEM049,SEM096 -> adapted,adapted,superseded. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-owner-sysprofile,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM062.,1,5460,rust,implementation,SEM062,FO-002,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM062 -> adapted. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-tls,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM071,SEM109.",1,8529,rust,implementation,SEM071;SEM109,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM071,SEM109 -> reference-only,guardrail-derived. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-owner-tunnelping,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM051.,1,7535,rust,implementation,SEM051,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM051 -> hardened. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-wg_prober,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM061.,1,18002,rust,implementation,SEM061,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM061 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-wireguard,owner-runtime,resolved-by-semantic-ledger,Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM059.,1,31672,rust,implementation,SEM059,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM059 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,aether-owner-zerotrust,owner-runtime,resolved-by-semantic-ledger,"Aether-owned runtime module; independently compared against LumiNet owner; resolved by SEM064,SEM097,SEM098.",1,24922,rust,implementation,SEM064;SEM097;SEM098,n/a,resolved-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM064,SEM097,SEM098 -> reference-only,reference-only,reference-only. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether,aether-root,documentation-build,reference-only,Aether root docs/build/release evidence.,14,1929599,markdown;shell;unknown;yaml,deployment;documentation;governance;implementation;media;repository-administration,SEM087,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM087 -> synthesized. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-apps,transport-tools,reference-only,Example QUIC/HTTP3 apps are transport reference only.,11,136504,rust;shell;toml;unknown,vendored,n/a,n/a,reference-only-after-fourth-order-review,Examples/tools were reviewed for operational/test ideas but do not carry target runtime authority.,reviewed
Aether,quiche-buffer-pool,resource-pooling,resolved-by-semantic-ledger,Generic bounded reuse primitive extracted; crate otherwise reference; resolved by SEM072.,5,25742,rust;toml;unknown,vendored,SEM072,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM072 -> hardened. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-core,transport-quic,reference-only,Core QUIC packets/streams/crypto/flow-control; retained as transport reference.,22,1264176,rust,vendored,n/a,n/a,reference-only-after-fourth-order-review,QUIC protocol/crypto/packet state was re-reviewed symbol-by-symbol; importing it would create a second transport authority beneath LumiNet current core/library owners. Keep protocol internals as reference unless a target owner and differential oracle exist.,reviewed
Aether,quiche-datagram-socket,transport-datagram,reference-only,GSO/mmsg/datagram batching is quiche transport-specific.,9,68018,markdown;rust;toml;unknown,vendored,SEM075,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM075 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-ffi,transport-ffi,reference-only,Quiche C FFI surface; not target-native ABI.,1,64241,rust,vendored,SEM086,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM086 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-fuzz,fuzz-corpus,reference-only,Fuzz corpora retained as parser/transport evaluation evidence.,1851,1989697,markdown;rust;toml;unknown,symlink;test-or-fixture,SEM083,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM083 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-h3-qpack,transport-http3,reference-only,HTTP/3 and QPACK transport authority; no second QUIC/H3 stack in LumiNet.,9,473563,markdown;rust,vendored,SEM076,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM076 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-h3i,http3-test-client,reference-only,HTTP/3 interactive/test client retained as protocol oracle.,28,599177,markdown;rust;toml;unknown,vendored,SEM085,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM085 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-netlog,telemetry-netlog,reference-only,NetLog mapping retained as telemetry reference only.,9,75171,markdown;rust;toml;unknown,vendored,SEM081,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM081 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-octets,binary-parsing,reference-only,Bounds-checked binary codec retained as parser oracle/reference.,4,155050,rust;toml;unknown,vendored,SEM074,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM074 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-path-cid,transport-migration,reference-only,QUIC path/CID routing and migration; target has no quiche authority.,2,86088,rust,vendored,SEM079,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM079 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-pmtud,transport-pmtud,reference-only,QUIC PMTUD implementation; transport-specific reference.,1,22425,rust,vendored,SEM078,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM078 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-qlog,telemetry-qlog,reference-only,QLOG schema/serialization retained as telemetry reference only.,15,171903,markdown;rust;toml;unknown,test-or-fixture;vendored,SEM080,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM080 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-qlog-dancer,telemetry-ui,reference-only,QLOG visualization reference; target telemetry/UI remains authoritative.,33,465556,css;html;javascript;markdown;rust;toml,vendored,SEM082,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM082 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-recovery,transport-congestion,reference-only,"QUIC loss recovery, RTT, pacing, Cubic/Reno/PRR/BBR/BBRv2; transport-specific reference.",26,512180,markdown;rust,vendored,SEM077,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM077 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-task-killswitch,task-cancellation,superseded,LumiNet context/process ownership already provides cancellation seam.,3,11509,rust;toml;unknown,vendored,SEM073,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM073 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-tokio,async-quic,reference-only,Tokio quiche router/socket stack would duplicate target transport authority.,73,1229222,markdown;rust;toml;unknown,test-or-fixture;vendored,SEM084,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM084 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether,quiche-tools,transport-tools,reference-only,Quiche test/tool scripts retained as reference.,7,84859,markdown;rust;shell;toml,test-or-fixture;vendored,n/a,n/a,reference-only-after-fourth-order-review,Examples/tools were reviewed for operational/test ideas but do not carry target runtime authority.,reviewed
Aether,quiche-workspace,transport-build,reference-only,Embedded quiche workspace administration/build surface.,43,264538,c;markdown;rust;shell;toml;unknown;yaml,vendored,n/a,n/a,reference-only-after-fourth-order-review,"Workspace/build surfaces are donor packaging, not target semantics; dependency and build lessons are retained without importing the workspace.",reviewed
Aether-GUI,aether-gui-build,build-config,reference-only,Tauri/Vite build and repository administration evidence.,26,487808,html;javascript;json;markdown;rust;shell;toml;typescript;unknown;yaml,configuration;documentation;governance;implementation;repository-administration,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Aether-GUI,aether-gui-components,ui-product,reference-only,Operator UI affordance reference; LumiNet control UI remains authoritative.,23,68138,typescript,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Aether-GUI,aether-gui-media,media-docs,reference-only,Media/documentation evidence.,54,1868931,unknown;xml,configuration;implementation;media,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Aether-GUI,aether-gui-sidecar,process-supervision,resolved-by-semantic-ledger,"Sidecar lifecycle/retry/readiness/PTTY primitives compared individually; resolved by SEM013,SEM014,SEM015,SEM016,SEM017,SEM018,SEM020.",6,57779,rust,implementation,SEM013;SEM014;SEM015;SEM016;SEM017;SEM018;SEM020,FO-010,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM013,SEM014,SEM015,SEM016,SEM017,SEM018,SEM020 -> adapted,hardened,hardened,reference-only,rejected-with-reason,adapted,superseded. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether-GUI,aether-gui-state,ui-state,resolved-by-semantic-ledger,Connection/log/window state models; bounded/retry semantics compared; resolved by SEM019.,2,10463,typescript,implementation,SEM019,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM019 -> superseded. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Aether-GUI,aether-gui-tauri,desktop-host,resolved-by-semantic-ledger,"Desktop process/tray/focus/event host; selected lifecycle semantics only; resolved by SEM100,SEM101.",7,11332,rust,implementation,SEM100;SEM101,n/a,resolved-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM100,SEM101 -> reference-only,reference-only. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Aether-GUI,aether-gui-web,ui-product,reference-only,React/Tauri product shell reference.,5,12047,css;typescript,implementation;ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Goida-AI-Unlocker,goida-build,build-config,reference-only,Packaging/version/build inputs.,7,137266,python;unknown,implementation;media;ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Goida-AI-Unlocker,goida-core,desktop-core,reference-only,Constants/settings/logger reference.,4,7022,python,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Goida-AI-Unlocker,goida-gui,desktop-ui,resolved-by-semantic-ledger,"Localization/update/hosts-edit affordances inspected individually; resolved by SEM024,SEM025,SEM102.",8,153580,json;python,ui-or-product,SEM024;SEM025;SEM102,FO-006,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM024,SEM025,SEM102 -> reference-only,reference-only,inspired-native. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Goida-AI-Unlocker,goida-gui-components,desktop-ui,reference-only,Desktop UI components/reference.,5,19378,python,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,"Desktop workflow/UI surfaces were re-reviewed for operator affordances; preview/status value is rederived through target API owners, not GUI state authority.",reviewed
Goida-AI-Unlocker,goida-gui-pages,desktop-ui,reference-only,Desktop operator pages/reference.,6,38812,python,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,"Desktop workflow/UI surfaces were re-reviewed for operator affordances; preview/status value is rederived through target API owners, not GUI state authority.",reviewed
Goida-AI-Unlocker,goida-hosts,host-mutation,resolved-by-semantic-ledger,"Exact-preimage/readback/rollback semantics adapted; aggressive ACL/process mutation rejected; resolved by SEM021,SEM022.",1,30733,python,ui-or-product,SEM021;SEM022,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM021,SEM022 -> adapted,rejected-with-reason. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Goida-AI-Unlocker,goida-http,http-client,reference-only,Small desktop HTTP helper/cache reference.,1,2485,python,ui-or-product,SEM023,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM023 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Goida-AI-Unlocker,goida-icons,media,reference-only,UI media.,21,16575,unknown,media,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Goida-AI-Unlocker,goida-root,docs-ci,reference-only,Root docs/CI evidence.,4,57221,markdown;unknown;yaml,documentation;governance;implementation;repository-administration,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
Goida-AI-Unlocker,goida-utils,desktop-utils,reference-only,Cache/delete/open helpers retained as operational reference.,2,4252,python,ui-or-product,SEM026,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM026 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Unlock_AI_and_EN_Services_for_Russia,unlock-hosts-corpus,service-domain-policy,resolved-by-semantic-ledger,"Stable labeled domains extracted; IP bindings/block policy separated; resolved by SEM027,SEM028,SEM029,SEM030.",1,805075,unknown,implementation,SEM027;SEM028;SEM029;SEM030,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM027,SEM028,SEM029,SEM030 -> extracted,rejected-with-reason,reference-only,reference-only. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
Unlock_AI_and_EN_Services_for_Russia,unlock-magisk,android-root-module,reference-only,Root/Magisk installation mechanics not target authority.,3,4200,unknown,implementation,SEM031,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM031 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
Unlock_AI_and_EN_Services_for_Russia,unlock-root,docs-update,reference-only,Module docs/update metadata.,4,45781,json;markdown;unknown,configuration;documentation;governance,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-android,platform-shell,reference-only,Generated Flutter Android shell; no superior lifecycle owner.,19,12464,kotlin;properties;unknown;xml,configuration;implementation;media;ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-app,mobile-app-shell,reference-only,Flutter app shell reference.,1,1001,dart,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-ios,platform-shell,reference-only,Generated Flutter iOS shell.,39,61213,c;json;markdown;swift;unknown,configuration;documentation;implementation;media,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-linux,platform-shell,reference-only,Generated Flutter Linux shell.,10,15677,c;cpp;unknown,implementation,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-macos,platform-shell,reference-only,Generated Flutter macOS shell.,28,223149,json;swift;unknown,configuration;implementation;media,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-provider,sstp-client-state,resolved-by-semantic-ledger,"SSTP/profile/TLS settings inspected; security defaults weaker than target; resolved by SEM009,SEM010,SEM011.",1,9177,dart,ui-or-product,SEM009;SEM010;SEM011,n/a,split-live-and-nonlive-by-semantic-review,"All semantic children re-evaluated against the frozen third-wave target: SEM009,SEM010,SEM011 -> reference-only,guardrail-derived,guardrail-derived. Module packaging is not itself authoritative; child decisions control adoption.",reviewed
ZedPass,zedpass-root,build-docs,reference-only,"Build, CI, docs and test metadata.",10,957206,dart;markdown;unknown;yaml,configuration;documentation;governance;implementation;media;repository-administration;test-or-fixture,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-theme,ui-theme,reference-only,Theme reference.,1,3296,dart,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-ui,ui-product,reference-only,DNS/proxy/TLS profile UX reference.,2,27800,dart,ui-or-product,SEM012,n/a,resolved-nonlive-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM012 -> reference-only. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
ZedPass,zedpass-web,platform-shell,reference-only,Generated Flutter web shell.,7,43175,html;json;unknown,media;ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
ZedPass,zedpass-windows,platform-shell,reference-only,Generated Flutter Windows shell.,18,67854,c;cpp;unknown,implementation;media,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
defyxVPN,defyx-android,android-vpn-host,resolved-by-semantic-ledger,Android VPN lifecycle/socket protection reference; target native host hardened; resolved by SEM003.,34,316858,kotlin;properties;unknown;xml,configuration;implementation;media;ui-or-product,SEM003,n/a,resolved-live-by-semantic-review,All semantic children re-evaluated against the frozen third-wave target: SEM003 -> adapted. Module packaging is not itself authoritative; child decisions control adoption.,reviewed
defyxVPN,defyx-app,mobile-app-shell,reference-only,Flutter app/router shell not target fit.,3,9401,dart,ui-or-product,n/a,n/a,reference-only-after-fourth-order-review,Every file and symbol in this module was re-inventoried. No independently stronger target-native mechanism or missing authority was found beyond separately linked semantic records; retain as reference/context rather than donor-shaped import.,reviewed
