wave,donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
ultimate-63,V2RayN-PRO-main(1),V2RayN-PRO-main(1).zip,5e5e3162c6aa3d2311266d738e396a9a15e7c68a9d06fbd2217e5dfd8c65589d,72,61,11,0,0,GPL-family copyleft plus bundled third-party binaries/notices; target does not copy source/binaries,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,V2ray-for-Doprax-main(1),V2ray-for-Doprax-main(1).zip,9395bd68bccfd6f86c80656285061a9da863fb98f20aeca3f8ba9035eedb3f37,11,9,2,0,0,no explicit root license in archive,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,bia-pain-bache-main,bia-pain-bache-main.zip,d3df5220f6041ef7a0f6e2d1258e50292899dbc7073e6e8e938701966f1a884e,55,50,5,288,0,GPL-2.0; evidence/independent comparison only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,caddy-master,caddy-master.zip,dc21aecbfd41e950074fc80da603198cba5f8e14c0aa6445447e2838b4b7a5eb,688,627,61,3733,0,Apache-2.0,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,coredns-master,coredns-master.zip,99a1da842b6a5144590f526e7fe65835077255bc17c2f413aaefddc9c3d030f9,1103,985,118,4106,3,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,defyxVPN-main(1),defyxVPN-main(1).zip,60c37bdee140394cf5bb7618a7e54917600946befda4b75fc7ac162002f2c33e,676,503,173,215,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,dns-over-https-proxy-master,dns-over-https-proxy-master.zip,2aa075051e81ed0daae1d3bb3db666e16a9b4e4358f5b16043caed40bcfee84f,1294,1091,203,16,1,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,ev-master_(1),ev-master (1).zip,d936beca1266c8e4ab915732c05d89a515f4a5c50a3152c31f2e898060efb281,16,14,2,47,0,no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,eve-xui-manager-main,eve-xui-manager-main.zip,e178da00b9d58f858132fceac6417f0a1b7905a53545c6ea645bf0892eff9ea2,103,91,12,2087,0,no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,firewalla-master,firewalla-master.zip,3b2a30af746488484b4d7a0c6b335a20e268dfe07565ac7c598bbfab57083b04,2599,2249,350,3542,33,AGPL-3.0; target independently rederives selected semantics,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,ftpscan-master,ftpscan-master.zip,d6f7a61feaceb4205291070d20e4ba540af635c62afdd5e3e1970124e7fa2051,11,10,1,12,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,godnsagent-master(1),godnsagent-master(1).zip,ff39d81b6cb5a1dd4269526efd121691d1b4cc8d9e2635c0f767fcfd70a1ff69,25,21,4,26,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,gologin-main,gologin-main.zip,da7b0d99e4ea62bf77c69f8083bd7cc301dba651ae4b680e97f02cf042d02d12,92,75,17,208,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,incy-platforms-main,incy-platforms-main.zip,c322a1eb91b52e8191ab76b4ac9c201161ada0c528efd9db3233a4291c28db1f,3,2,1,0,0,no explicit license; descriptive reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,lossyconn-master,lossyconn-master.zip,b2ed9ec6f403bed4a8bdfb2d4c7149a12b83715c4458837df9320afecec97b02,10,9,1,46,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,nahan-main(1),nahan-main(1).zip,faaa095b2e0f9e66a1a2abe57744eb66fc4b9207683ecf87e600f205f16c4848,17,14,3,200,0,no explicit license; new revision evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,openssl-cffi-master,openssl-cffi-master.zip,99322671d546b84e1076ae304eabc1ddfd9edc600129f62beff52bbf14b4530a,5,4,1,5,0,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,sing-geoip-main,sing-geoip-main.zip,3f7a90618be692321dada33b8ca52aa27571a157a38530d3ea063356bc8d13f7,16,13,3,11,0,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,sing-geosite-main,sing-geosite-main.zip,f054fa0081b791fc0787e9dd94404c54334a5b9edc46aebae38ace01c68e6001,16,13,3,14,0,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,snowbox-master,snowbox-master.zip,fb9a4abdc8f26aaa779cdbfd6addf7a0be8a63c8c342680913953413081643af,12,11,1,0,0,no explicit license; test-environment reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,sysproxy-main,sysproxy-main.zip,61a7ee336866edf6c019c473a74dbccf87a19929b41e3eb7b79748021e6f88db,11,7,4,4,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,torrequest-master,torrequest-master.zip,d0a4dceabc6f7db99b4ea41799fc63475aacc16e9dbad3bf69fd7da64b9cc0b2,6,5,1,16,0,metadata declares MIT,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,unique-queue-master,unique-queue-master.zip,d2d7a3181b38df8464d37f0e17552b8347ee82d912232b08bd5f4ca08857b019,9,8,1,28,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,v2rayng-panel-main(1),v2rayng-panel-main(1).zip,fe7b75817fc8cdc62c16025affd05327c39ec086508f551b394358017a83a454,2,1,1,0,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,vps-warp-main(1),vps-warp-main(1).zip,4466f36e5c9084a472f55b1b3cbd6ce93dfdac39b38c9213e2e5ef29f08c044c,4,3,1,7,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,x-ui-pro-master,x-ui-pro-master.zip,d7011ed3a2065bb59993fd7c8a54e1c390a74c22254be3fb1a721cd20d573156,27,25,2,11,0,no explicit license; operational guardrail/reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,zeus-main(1),zeus-main(1).zip,746d56b08c15e6b22305b2b35b67c01cee02d07c25bd84042be280fbeda603a9,11,9,2,103,0,no explicit license; selected concepts independently rederived only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger,0
ultimate-63,MullvadVPN-Tricks-main,MullvadVPN-Tricks-main.zip,849349485bbe407085a17ec4f36de86587712c98576919684d35393d8c7b4ed1,10,9,2,0,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,RealiTLScanner-main,RealiTLScanner-main.zip,b9b1b8203bf52378b44238fa36982fccc50bad28c1dc7cfbf75893b740fa511d,11,10,2,19,0,MPL-2.0,file-level copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,aces-main,aces-main.zip,8267a8dfce19c526e30a2686d92587574f9b1bc8f86fcc53716635bbc6549fd0,15,11,5,66,0,BSD-like US Government permissive,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,bldfrm-vpn-main,bldfrm-vpn-main.zip,e4fa35fd121db66b4868c656f529b67b44a974746fe534e97b010b93b08da4d0,2,1,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,dns_over_tls_over_tor-master,dns_over_tls_over_tor-master.zip,941fb5e729e3e7d0d15e117120e01184b71e4e6cd2a22177d6df8b1180c93a3b,8,7,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,fptn-manager-master,fptn-manager-master.zip,d73806f28e952c4741e4643e7d40084f51aa2e28b865b8672181abea34e8424e,5,4,2,0,0,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,fswatch-main,fswatch-main.zip,c1f50bd32a14ef958b1a85b96b95feb14f968afb9a9a2b22eb861a7b3efd3767,15,12,4,12,0,GPL-3.0-or-later,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,iptables-mod-randmap-master,iptables-mod-randmap-master.zip,4da69f915375d7ef89c199849656d25c0fc607cbaf8c917afc6f552f8cd24f54,14,10,5,32,0,GPL-2.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,mullvad-browser-main,mullvad-browser-main.zip,abcb3fa8aed9d0da0b1b881d639cdeaf5293c2d773de6f6c8d0d4a29d2df4418,14,9,6,1,0,MPL-2.0 (README claim; archive lacks license file),file-level copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,mullvad-closest-main,mullvad-closest-main.zip,9c149d9b94507c47e0e9116dd716f8c492a6f24643fbc39502ea0fee1ad25a11,12,10,3,24,0,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,mullvad-proxy-main,mullvad-proxy-main.zip,628573fd1b8e699583ab91034449584c7635fb7a1dad862424aabc2b1f6bbad6,16,12,5,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,onionsphinkter-production,onionsphinkter-production.zip,3437f25da54170fbbc2d430eff6138b20f4be8b8de7df2a2d3af75bf36485ba5,19,13,7,86,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,php-proxy-app-master,php-proxy-app-master.zip,e3984f1a11c8c18ac5ec83a800827b36b8066e78b793c2299f3ea9cecb3b6e67,18,13,6,13,0,MIT,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,ptnettools-main,ptnettools-main.zip,666e6be56e623f97d8d9ef1a0a4f9e546fee43005712d83189eee63901ee047f,10,9,2,56,0,CC0-1.0,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,smart-vpn-ec2-manager-main,smart-vpn-ec2-manager-main.zip,db84fcc0605edf3a8ac31e538641ced2d6421ff2fac169a3758c3af0f4c84bdc,8,8,3,4,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction; nested payload ZIP independently opened and hashed,fully reviewed; semantics in ultimate-pass ledger,1
ultimate-63,the-onion-diaries-master,the-onion-diaries-master.zip,c5fffd3fdff3e4ee70b97441de568119118840d637b8930d90e480a46264c26d,4,3,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,tor-relay-bootstrap-master,tor-relay-bootstrap-master.zip,f7fa26dd2c2f232835a5fdc1307888f0da4c84847254de21d520a57fcedaf3c4,17,9,9,0,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,tor.rb-master,tor.rb-master.zip,8ffd688cec3a24850b9eece25dbd279efe4c9be331b9f6dbaa47e96e25d5ab2f,31,25,7,43,1,Unlicense/public domain,direct reuse legally plausible subject to target fit; this wave still uses target-native adaptation unless noted,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,tor_box-master,tor_box-master.zip,5a85c8859de7f810ffa3645b1097f09b25bd8b3961ee33a772a3872341049e4e,4,3,2,0,0,no explicit license,"no direct source reuse; concepts, negative evidence and independently derived behavior only",none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
ultimate-63,torget-main,torget-main.zip,134192f318dd6d68991326fefe70e654d87cc13cb5b9e0537ddfb18c2da36302,6,5,2,18,0,GPL-3.0,copyleft; no direct source copy in current target changes; semantics independently implemented,none; strict path/type/collision/expansion validation before extraction,fully reviewed; semantics in ultimate-pass ledger,0
post-refactor-20,MITM-DomainFronting-main,MITM-DomainFronting-main.zip,774351a433f69a23ccc62c4bdeb92429de5b8af0b0a0984b4261e901800f2dd2,7,5,2,0,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,MITM-cheatsheet-master,MITM-cheatsheet-master.zip,0485f4ddb2ff08c57d5b531deeafc9035343e682836dd7a4eb657dacf27e4c61,4,3,1,0,0,no explicit LICENSE,no source reuse; defensive reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,Marzban-scripts-master,Marzban-scripts-master.zip,bb77f8e2398394c5d78b624f2e43d7066aab03711e8c58f5b7f4c9e934d701cb,5,4,1,0,0,no explicit LICENSE,no source reuse; operational reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,NginxReverseProxy-main,NginxReverseProxy-main.zip,f66ed08e2a5e7685c64e024276fd49333788e68a3f0c022c3f88b4a1d1f9a616,8,7,1,0,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,18
post-refactor-20,Nova-Proxy-App-main,Nova-Proxy-App-main.zip,00091bd43639f7010646bb7af0ca5073d03a7001a85ef22722f2d64b457583ce,101,81,20,610,0,no explicit LICENSE,no source reuse; independent derivation/guardrails only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,Nova-Proxy-main,Nova-Proxy-main.zip,9ad52154b3dcf4612ce7e99fc39b18124ee8a960cf4808f6c582585b1191d7dc,16,13,3,0,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,NovaRadar-main,NovaRadar-main.zip,db82bcfb8c7f8ddf37adf77ba32d599452746632b4c8fe741c8a10dd3f1d09f4,17,16,1,40,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,Pitraix-main,Pitraix-main.zip,cf7a87835cc35dd2bc2ec64cc362aa31d0afa28ec9b60acecc2027c12f53167a,10,9,1,77,0,MIT but malicious product role,no capability adoption; negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,QS-Tunnel-main,QS-Tunnel-main.zip,53e900eac28e63b9b3c498208f0383638d04401825e12e5d68fa5ad90d95bd99,25,20,5,64,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,cellshift-main,cellshift-main.zip,136ccc3f9554df8c8ad16be6e0aecdf5c259bb6b05e06126bf2e89874fe547ca,23,18,5,112,0,BSD-style / U.S. Government terms,reference/evaluation use subject to terms,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,mihomo-main,mihomo-main.zip,029d672321d5b20e154df4a4c34457e892341f35b0b2e9612e0503702f2d04d0,38,30,8,39,0,MIT,unrelated product role,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,mullvad-best-server-main,mullvad-best-server-main.zip,af138dceaca815397a82b6ab13a30b7d3f3c79caff09aaf51f02081cd0cc4b98,40,19,21,5,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,mullvad-tailscale-main,mullvad-tailscale-main.zip,2e4f1e20a47b03d36c1e4fd86c5508234154f15738a8cf83e8bed0403cc11b8e,5,4,1,1,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,multitor-master,multitor-master.zip,5f6d98b3f63f0f97b4f9f8eb9ada0b067056f6d191005e75117e47cc79275782,39,28,11,20,0,GPLv3,concept/negative evidence only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,nahan-main(2),nahan-main(2).zip,faaa095b2e0f9e66a1a2abe57744eb66fc4b9207683ecf87e600f205f16c4848,17,14,3,95,0,no explicit LICENSE,identical prior donor; no new source reuse,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,onionperf-master,onionperf-master.zip,9c9e8898c071c92e3bb3f2d8e1e1d2c6f40dc16627def1625d5444c3586bbaa6,16,14,2,278,0,BSD-style / U.S. Government terms,reference/evaluation use subject to terms,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,proxy-yoinker-main,proxy-yoinker-main.zip,4e2f8e6a2bc118403102231659456e916684aff1fe28ada1f928582969cfba29,28,22,6,71,0,no explicit LICENSE,no source reuse; concept/reference only,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,qpp-main,qpp-main.zip,deae30c247136a7486f3d39cfb609ef84ab8d5656f0a990dd4a4da270dcb49e5,17,13,4,44,0,GPLv3,no source reuse; crypto rejected,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,qtun-master,qtun-master.zip,95d700112f449f5399d5f1934a06b6ea7aefa1701961a90cd8affc86c73d05fb,25,18,7,23,0,MIT declared in Cargo.toml,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
post-refactor-20,smux-dev,smux-dev.zip,22011451b4ebf883e719a96fe166022f8475f5246ec34490465cc3d56af99125,15,14,1,167,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,reviewed against corrected refactor target; semantics in post-refactor-83 ledger,0
tor-wave-14,Tor-IP-Changer-main,Tor-IP-Changer-main.zip,ee552ea0f66b6971fb95c9b1f85b95948a73092cf90b123d5b11d4ffc28e6051,11,8,3,2,0,MIT,concept/adaptation permitted with attribution; no donor packaging copied,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tor-wave-14,TorOverVPN-main,TorOverVPN-main.zip,8cdeee24aa0cf8318af47568439f11519984d3806d8d0fd9388e02bd911097d9,6,4,2,1,0,no explicit LICENSE,no source reuse; operational/negative evidence only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tor-wave-14,Tor_Onion_Proxy_Library-master,Tor_Onion_Proxy_Library-master.zip,0ebd6ce5c11763ae2394ae878cb02108705d8b1d9a9e81411d655d41b8229f3d,145,73,72,583,0,Apache-2.0,behavioral evidence/adaptation permitted; bundled binaries remain donor artifacts,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,120
tor-wave-14,onion-grater-master,onion-grater-master.zip,cdb3d70b07f53f69806cd108004abadd5914e9aafd834c5966222dcb02695c64,36,23,13,0,0,AGPL-3+ with file-specific notices,no source reuse; security-policy evidence only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
tor-wave-14,onionbalance-develop,onionbalance-develop.zip,a8fb0b914e3769907575186deff564063ccb15aeab3330dda1a04f8d356a4d26,62,54,8,142,0,GPLv3,no source reuse; protocol/algorithm reference only,none; validated before extraction,reviewed against post-refactor target; semantics in post-refactor-97 ledger,0
