donor,path,depth,direct_file_count,direct_child_dir_count,recursive_file_count,recursive_bytes,languages,classifications,children,reviewed_surface_count,reviewed_modules,fourth_order_record_ids,current_resolution,review_rationale,review_status
Aether,quiche/datagram-socket,2,3,1,8,68008,markdown;rust;toml,vendored,src,9,quiche-datagram-socket,n/a,fully-accounted-fourth-order,Directory recursively resolves to 9 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/datagram-socket/src,3,6,0,6,64206,rust,vendored,,6,quiche-datagram-socket,n/a,fully-accounted-fourth-order,Directory recursively resolves to 6 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz,2,6,3,1846,1989544,markdown;rust;toml;unknown,test-or-fixture,corpus;mayhem;src,1851,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1851 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus,3,0,5,1829,1968528,unknown,test-or-fixture,packet_recv_client;packet_recv_server;packets_posths_server;packets_recv_server;qpack_decode,1829,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1829 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus/packet_recv_client,4,617,0,617,697917,unknown,test-or-fixture,,617,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 617 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus/packet_recv_server,4,722,0,722,1061990,unknown,test-or-fixture,,722,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 722 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus/packets_posths_server,4,2,0,2,10038,unknown,test-or-fixture,,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus/packets_recv_server,4,2,0,2,10038,unknown,test-or-fixture,,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/corpus/qpack_decode,4,486,0,486,188545,unknown,test-or-fixture,,486,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 486 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem,3,0,5,5,1585,unknown,test-or-fixture,packet_recv_client;packet_recv_server;packets_posths_server;packets_recv_server;qpack_decode,10,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 10 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem/packet_recv_client,4,1,1,1,271,unknown,test-or-fixture,testsuite,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem/packet_recv_server,4,1,1,1,349,unknown,test-or-fixture,testsuite,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem/packets_posths_server,4,1,1,1,355,unknown,test-or-fixture,testsuite,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem/packets_recv_server,4,1,1,1,351,unknown,test-or-fixture,testsuite,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/mayhem/qpack_decode,4,1,1,1,259,unknown,test-or-fixture,testsuite,2,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/fuzz/src,3,6,0,6,14344,rust,test-or-fixture,,6,quiche-fuzz,n/a,fully-accounted-fourth-order,Directory recursively resolves to 6 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i,2,5,2,27,599167,markdown;rust;toml;unknown,vendored,examples;src,28,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 28 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/examples,3,2,0,2,6021,rust,vendored,,2,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src,3,5,4,21,255536,rust,vendored,actions;client;prompts;recordreplay,21,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 21 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src/actions,4,2,0,2,13121,rust,vendored,,2,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src/client,4,4,0,4,78838,rust,vendored,,4,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src/prompts,4,1,1,8,49467,rust,vendored,h3,8,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 8 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src/prompts/h3,5,7,0,7,47999,rust,vendored,,7,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 7 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/h3i/src/recordreplay,4,2,0,2,30087,rust,vendored,,2,quiche-h3i,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/netlog,2,3,1,8,75161,markdown;rust;toml,vendored,src,9,quiche-netlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 9 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/netlog/src,3,6,0,6,71612,rust,vendored,,6,quiche-netlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 6 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/octets,2,2,1,3,155040,rust;toml,vendored,src,4,quiche-octets,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/octets/src,3,2,0,2,154569,rust,vendored,,2,quiche-octets,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog,2,4,2,14,171893,markdown;rust;toml,test-or-fixture;vendored,src;tests,15,quiche-qlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 15 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog-dancer,2,6,1,33,465556,css;html;javascript;markdown;rust;toml,vendored,src,33,quiche-qlog-dancer,n/a,fully-accounted-fourth-order,Directory recursively resolves to 33 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog-dancer/src,3,8,3,27,415992,rust,vendored,plots;reports;trackers,27,quiche-qlog-dancer,n/a,fully-accounted-fourth-order,Directory recursively resolves to 27 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog-dancer/src/plots,4,12,0,12,136229,rust,vendored,,12,quiche-qlog-dancer,n/a,fully-accounted-fourth-order,Directory recursively resolves to 12 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog-dancer/src/reports,4,4,0,4,62882,rust,vendored,,4,quiche-qlog-dancer,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog-dancer/src/trackers,4,3,0,3,19007,rust,vendored,,3,quiche-qlog-dancer,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog/src,3,4,2,10,147722,rust,vendored,events;testing,10,quiche-qlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 10 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog/src/events,4,3,0,3,64435,rust,vendored,,3,quiche-qlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog/src/testing,4,3,0,3,19429,rust,vendored,,3,quiche-qlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/qlog/tests,3,1,0,1,11094,rust,test-or-fixture,,1,quiche-qlog,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche,2,5,3,82,2628532,c;markdown;rust;shell;toml;unknown,vendored,examples;include;src,84,quiche-core;quiche-ffi;quiche-h3-qpack;quiche-path-cid;quiche-pmtud;quiche-recovery;quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 84 exact hashed surfaces across 7 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/examples,3,17,0,17,136635,c;markdown;rust;shell;unknown,vendored,,17,quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 17 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/include,3,1,0,1,51775,c,vendored,,1,quiche-workspace,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src,3,19,5,61,2422673,markdown;rust,vendored,crypto;h3;recovery;stream;tls,61,quiche-core;quiche-ffi;quiche-h3-qpack;quiche-path-cid;quiche-pmtud;quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 61 exact hashed surfaces across 6 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/crypto,4,2,0,2,29863,rust,vendored,,2,quiche-core,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/h3,4,5,1,9,473563,markdown;rust,vendored,qpack,9,quiche-h3-qpack,n/a,fully-accounted-fourth-order,Directory recursively resolves to 9 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/h3/qpack,5,4,0,4,43021,rust,vendored,,4,quiche-h3-qpack,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/recovery,4,5,2,26,512180,markdown;rust,vendored,congestion;gcongestion,26,quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 26 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/recovery/congestion,5,8,0,8,128307,rust,vendored,,8,quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 8 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/recovery/gcongestion,5,5,2,13,252625,rust,vendored,bbr;bbr2,13,quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 13 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/recovery/gcongestion/bbr,6,2,0,2,79742,rust,vendored,,2,quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/recovery/gcongestion/bbr2,6,6,0,6,79128,rust,vendored,,6,quiche-recovery,n/a,fully-accounted-fourth-order,Directory recursively resolves to 6 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/stream,4,3,0,3,151204,rust,vendored,,3,quiche-core,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/quiche/src/tls,4,2,0,2,45224,rust,vendored,,2,quiche-core,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/task-killswitch,2,2,1,2,11499,rust;toml,vendored,src,3,quiche-task-killswitch,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/task-killswitch/src,3,1,0,1,10936,rust,vendored,,1,quiche-task-killswitch,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche,2,4,4,72,1229212,markdown;rust;toml;unknown,test-or-fixture;vendored,docs;examples;src;tests,73,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 73 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/docs,3,5,0,5,553067,unknown,vendored,,5,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/examples,3,3,1,7,31336,markdown;rust;unknown,vendored,async_http3_server,7,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 7 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/examples/async_http3_server,4,4,0,4,22967,rust,vendored,,4,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src,3,3,5,45,547218,markdown;rust,vendored,http3;metrics;quic;settings;socket,45,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 45 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/http3,4,3,1,13,235590,markdown;rust,vendored,driver,13,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 13 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/http3/driver,5,10,0,10,218204,markdown;rust,vendored,,10,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 10 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/metrics,4,3,0,3,28427,rust,vendored,,3,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/quic,4,5,3,17,206777,markdown;rust,vendored,connection;io;router,17,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 17 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/quic/connection,5,4,0,4,44520,rust,vendored,,4,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/quic/io,5,5,0,5,67437,rust,vendored,,5,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/quic/router,5,3,0,3,61364,rust,vendored,,3,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/settings,4,5,0,5,35188,rust,vendored,,5,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/src/socket,4,4,0,4,26119,rust,vendored,,4,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 4 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/tests,3,1,2,12,82733,rust,test-or-fixture,fixtures;integration_tests,12,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 12 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/tests/fixtures,4,2,0,2,16010,rust,test-or-fixture,,2,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tokio-quiche/tests/integration_tests,4,9,0,9,65287,rust,test-or-fixture,,9,quiche-tokio,n/a,fully-accounted-fourth-order,Directory recursively resolves to 9 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tools,2,1,2,7,84859,markdown;rust;shell;toml,test-or-fixture;vendored,android;http3_test,7,quiche-tools,n/a,fully-accounted-fourth-order,Directory recursively resolves to 7 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tools/android,3,1,0,1,631,shell,vendored,,1,quiche-tools,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tools/http3_test,3,2,2,5,83094,markdown;rust;toml,test-or-fixture;vendored,src;tests,5,quiche-tools,n/a,fully-accounted-fourth-order,Directory recursively resolves to 5 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tools/http3_test/src,4,2,0,2,33403,rust,vendored,,2,quiche-tools,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether,quiche/tools/http3_test/tests,4,1,0,1,46982,rust,test-or-fixture,,1,quiche-tools,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,.,0,17,4,123,2516498,css;html;javascript;json;markdown;rust;shell;toml;typescript;unknown;xml;yaml,configuration;documentation;governance;implementation;media;repository-administration;ui-or-product,.github;docs;src;src-tauri,123,aether-gui-build;aether-gui-components;aether-gui-media;aether-gui-sidecar;aether-gui-state;aether-gui-tauri;aether-gui-web,FO-010,fully-accounted-fourth-order,Directory recursively resolves to 123 exact hashed surfaces across 7 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,.github,1,0,2,3,6393,yaml,repository-administration,ISSUE_TEMPLATE;workflows,3,aether-gui-build,n/a,fully-accounted-fourth-order,Directory recursively resolves to 3 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,.github/ISSUE_TEMPLATE,2,2,0,2,2847,yaml,repository-administration,,2,aether-gui-build,n/a,fully-accounted-fourth-order,Directory recursively resolves to 2 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,.github/workflows,2,1,0,1,3546,yaml,repository-administration,,1,aether-gui-build,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,docs,1,1,0,1,174783,unknown,media,,1,aether-gui-media,n/a,fully-accounted-fourth-order,Directory recursively resolves to 1 exact hashed surfaces across 1 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
Aether-GUI,src,1,3,4,30,90648,css;typescript,implementation;ui-or-product,components;lib;state;types,30,aether-gui-components;aether-gui-state;aether-gui-web,n/a,fully-accounted-fourth-order,Directory recursively resolves to 30 exact hashed surfaces across 3 reviewed module family/families; no child path is omitted from the surface matrix.,reviewed
