project,role,wave,surface_count,historical_root_record,historical_fine_records,post220_resolution,post220_target_value,post220_boundary,historical_surface_matrix
Throne,donor,post-refactor-180,844,PR180-M007,PR180-S011,promoted,connection/process metadata contract + exact AnyTLS idle-session fields,Desktop process enforcement is not inferred from observation metadata.,post-refactor-180-surface-accountability.csv
V2RayDAR,donor,post-refactor-180,62,PR180-M008,PR180-S014,promoted-selectively,strict generated-output re-ingest proof and compatibility evidence,"External runtime execution remains an optional release oracle, not a second runtime owner.",post-refactor-180-surface-accountability.csv
Vwarp,donor,post-refactor-180,195,PR180-M009,PR180-S015,superseded,existing WARP scanner/runtime owners,No donor staged pipeline duplication.,post-refactor-180-surface-accountability.csv
WarpScanner,donor,post-refactor-180,41,PR180-M010,PR180-S004,preserved,real-handshake loss/jitter/median WARP ranking,Peer arbitrary score/worker model remains superseded.,post-refactor-180-surface-accountability.csv
Yacd-meta,donor,post-refactor-180,226,PR180-M011,PR180-S010,promoted,Connections operator plane with search/filter/detail/owner-delegated close,UI never claims host-wide completeness; no close-all shortcut.,post-refactor-180-surface-accountability.csv
gotk4,donor,post-refactor-180,168,PR180-M012,PR180-S023,rejected-with-reason,toolchain/reference evidence only,No second GTK UI/toolchain beside shared React/Wails/Android product surfaces.,post-refactor-180-surface-accountability.csv
ipscan,donor,post-refactor-180,350,PR180-M013,PR180-S016,superseded,existing bounded scanner plus derived flow/path intelligence,No parallel scanner orchestration.,post-refactor-180-surface-accountability.csv
libcrafter,donor,post-refactor-180,1284,PR180-M014,PR180-S006;PR180-S007;PR180-S008,preserved,declared-length packet guards + bounded conflict-aware IPv4 reassembly,Raw packet construction/injection is not generalized into new authority.,post-refactor-180-surface-accountability.csv
mylg,donor,post-refactor-180,392,PR180-M015,PR180-S003,promoted,truthful traceroute + derived path intelligence,No second scanner/runtime owner.,post-refactor-180-surface-accountability.csv
obfuscated-openssh,donor,post-refactor-180,450,PR180-M016,PR180-S020,rejected-with-reason,negative compatibility evidence only,No legacy SSH protocol fork.,post-refactor-180-surface-accountability.csv
okhttp,donor,post-refactor-180,616,PR180-M017,PR180-S001;PR180-S002,preserved,bounded redirects/loops + bounded Retry-After,Existing post-180 implementation remains authoritative.,post-refactor-180-surface-accountability.csv
subconverter,donor,post-refactor-180,508,PR180-M018,PR180-S013,promoted-selectively,local compatibility conversion + RE2 shaping + detour-safe graph transforms,"No embedded scripting, remote includes, filesystem traversal, or second parser authority.",post-refactor-180-surface-accountability.csv
tailscale-rs,donor,post-refactor-180,485,PR180-M019,PR180-S005;PR180-S017,promoted,passive daemon network epochs + existing immutable LPM provider index,Observation never becomes route mutation or network acquisition.,post-refactor-180-surface-accountability.csv
tsidp,donor,post-refactor-180,86,PR180-M020,PR180-S022,rejected-with-reason,identity-boundary reference evidence only,LumiNet does not become a general-purpose OIDC identity provider.,post-refactor-180-surface-accountability.csv
