change_type,path,baseline_sha256,current_sha256,baseline_size_bytes,current_size_bytes,baseline_mode,current_mode
added,governance/convergence/post-refactor-227-state-machines.md,n/a,777658f108ea006a0fab8f8bc700159685790ed77b96b798a90ddf447ba43e9a,n/a,1275,n/a,0o644
added,governance/convergence/post-refactor-227-supersession-map.csv,n/a,86acf8fab5f02ed0b8e9aa80b34e734f409b99560e378d7fcddad4eb99b716b2,n/a,3433,n/a,0o644
added,governance/convergence/post-refactor-227-surface-accountability.csv,n/a,2f5caf409cdcb6788cbdfd153e8fe6d466d767b78cc86ffb0414edc380dcae4c,n/a,13050,n/a,0o644
added,governance/convergence/post-refactor-227-symbols.csv,n/a,e96843a2e4fc0febbe3a251e66f93bc45e0d2d1495bdbd1180528ee687590f30,n/a,60759,n/a,0o644
added,governance/convergence/post-refactor-227-validation.md,n/a,241ab535f846aae298f87ca034869e8d7b50ab338bb3a02375c6939fc6e66ae4,n/a,2378,n/a,0o644
modified,governance/topology/relocations.json,6ec8b3a014852187d1e597b39ac9f212a58dfc330b4d1c03281c19fe7934913d,c627e6884c798cb8026bdb2dd04a19653b3c36ff66fb88c256ca905c3088d430,387016,387856,0o644,0o644
modified,scripts/checks/check_post_refactor_226_convergence.py,371d7d87136d278306bd9055c91ef60f9e61d7f13deae8c596efd4fca2060a36,cdd0001c560a259e29c1c8d52980292aef5a2ee0123b6840d63aae83b4ad296e,14063,15207,0o755,0o755
added,scripts/checks/check_post_refactor_227_convergence.py,n/a,63e29598e296400f0698a4913c872f3de7f8dbb25de033e6ef12cc9fb231281b,n/a,13249,n/a,0o755
modified,scripts/checks/check_third_wave_runtime.py,2d617b6f9bd602660fa7b18e0f7bc83788054c87467fd5a983ba161d6ff4141c,ed559354c908e49f90139079f2affad522d312d7961671f30ef6cedce48ade98,8291,9123,0o644,0o644
added,scripts/generate/generate_post_refactor_227_all_history_audit.py,n/a,d8308c44b46013faf53064ca18c71a2cce673d31cfa4df9326856ce7c0cc5690,n/a,8994,n/a,0o755
added,scripts/generate/generate_post_refactor_227_delta.py,n/a,d4b3cc0fb6a8dda3ce8af40fabf66ad0f8b79c464980188592f1c59c7e018ad8,n/a,1977,n/a,0o755
added,scripts/generate/generate_post_refactor_227_evidence.py,n/a,af15e92eb8bb38bdfc9525b4aa914eb1fe4f627702a2c1d5ebc973cd08bfa1f3,n/a,22587,n/a,0o755
modified,src/apps/daemon/internal/adapters/api/.context,519bb35ac8441415194f98c7a10c30045434cb3f84c3b2e5e345d989be084c19,2a612adf9c0a68f1dec9372159d062aaec3c6eb45074f1b932cd96ac3e65b53d,2952,2952,0o644,0o644
added,src/apps/daemon/internal/adapters/api/handlers_post_refactor_227_sni.go,n/a,f9e30d35257005578a63f9fc70849beb7f4000778aa3d81960953d8e0c7462c7,n/a,692,n/a,0o644
modified,src/apps/daemon/internal/adapters/api/routes_system.go,ef80fc2dfa2c60b424009b9d2d30b206e4a7af5c25781db97e6cb5254a26de50,bf218bf91ace262fb56adc23556067b595b884a665c20ecbd227832af24d299f,9329,9393,0o644,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/.context,ffefbba35245411294f2ac1a87d2ca78a5964590064bf0a9e95c62a424052fa1,a1231654bc12575dc3f8c469e4857c51452b4048bbf2942e7e5c0c1f87fabea2,1695,1727,0o644,0o644
added,src/apps/daemon/internal/analysis/diagnostics/sni_decoy_handshake_plan.go,n/a,7b3535fa3cbdfdab418e961edd3fcc0fc68b7294c5e46d40542e1fc42a2067a7,n/a,5169,n/a,0o644
added,src/apps/daemon/internal/analysis/diagnostics/sni_decoy_handshake_plan_test.go,n/a,3a14557f706f2741889dec5edd3aacb4e1644fef8c83129a8262ddb39c2f2715,n/a,2321,n/a,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go,19450ca73c79d87c5e2e57b8e1efcbb2873bf7dabfcb6c847878eebb623070d4,fa647dfbdcb61cbc891e2394a38c280cb7f84e7078b0a9482923ccfd70d866b8,9819,7853,0o644,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go,06c4aab582f540abea7d2f4963af22f88a3aef585433741c694fe662c3a7a3ac,0f059ed83da3af1bdccba778d2a9ef0ed315c204270eb02b5168ed90b4fbfead,5595,7025,0o644,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/sni_validation.go,f5bee00c26e00c9c144f6b3050127e342449c2b98b7c57d671a8e2bdcf5ac1f3,0509b8df471bf56a3a45ce10e0696d0c6c7dad829e465997dec338929e86d92b,578,199,0o644,0o644
modified,src/apps/daemon/internal/networking/.context,2da2dfc8f70272242dbecfc65e98e421f1eb966123b5229928db6c7de3752e90,75e2db55fecb95e45b370bbd8de2cd16ca2b9c6fd73414b584d843366b3887b2,1021,1034,0o644,0o644
added,src/apps/daemon/internal/networking/tlsdecoy/.context,n/a,a3b39f0797087d481683d06e39d3162b622a6340d1cd8bb06dbbdc738f9ce8f6,n/a,949,n/a,0o644
added,src/apps/daemon/internal/networking/tlsdecoy/decoy.go,n/a,e61cc344b96cd647b711e6afb3a065fb8826ea386b30d4c370fc1eb8c8b6ea8f,n/a,3767,n/a,0o644
added,src/apps/daemon/internal/networking/tlsdecoy/decoy_test.go,n/a,e8b038fe6bb23a7121dec2317978e9601e988416fe2ea7870a0869a890ccb1d4,n/a,1397,n/a,0o644
modified,src/apps/daemon/internal/runtime/proxy/.context,7e3e94d1fd51817ab32c30655180b542dfef236a7df13bf6bfbf97ad5735a95f,811ef7ed3fb23d2b73078f83797d6eff62dfc1a46e2b186912473faa5047b129,2351,2383,0o644,0o644
modified,src/apps/daemon/internal/runtime/proxy/evasion_divert.go,85799c39823711f1501f3909113e1695f1963b050d59b3593c40d1c855927d46,6b396415ccf2bf2a013edfcc3de19182cd98e112dd9e095c5bb3b044f3f2fb05,11890,14862,0o644,0o644
modified,src/apps/daemon/internal/runtime/proxy/evasion_divert_linux.go,6cf827c1cbb27045601052dc218581b2914b7ade8bae824d2f276b4b0a2a09f9,3cdd2e85b44fd5798162763ca1222da9a7d16a0bfaaa3b7c40dff21ce5c63c2c,8147,8175,0o644,0o644
modified,src/apps/daemon/internal/runtime/proxy/evasion_divert_test.go,d4662142f2b22d14a838befa649d144176dff3b5c92f5f11d98e8c5a7b62c317,f243061a00ae953bc087cf788f8e36ae963e6928adcae17de5871979d95422d4,5745,8069,0o644,0o644
modified,src/apps/daemon/internal/runtime/proxy/evasion_divert_windows.go,3a0ee834ad7861d18bce73981f69c3b52c63de68e922725e7aa202e1eca2691b,af61dcea1b7862d9422f588ee201958ac7b84ae78f2399371b732365d7da0620,8600,8628,0o644,0o644
modified,src/apps/daemon/internal/runtime/proxy/evasion_tunnel_conn.go,4b6b750a70be20151e4540b6247ed01438e9b2e9cf7765831c174842616d75a8,0ee2dfd116a9c2c54fe2fe85dde9b0a63805f9b8c316415dd6d62f516f98dc23,15802,15553,0o644,0o644
modified,src/packages/control-ui/package.json,971ac0ed9035c84ba585b3b6dd7ffae1b07ad3cb4705c7e203df754da47915b9,14dd06f278ca47ec586205d3bc06ea9a7232b0fc3cdc557b84e02c7d52051bbf,1952,2031,0o644,0o644
modified,src/packages/control-ui/scripts/.context,6208ac4aa3f1c5272f20edde84fa0023a959ed1efe9ea3f4f8457e7c75e96bc9,29ce3c3a722ca4899dfb6fbd0d1669c1e3db2be97aa9b3c476133932d4e07440,962,974,0o644,0o644
added,src/packages/control-ui/scripts/test-post-refactor-227.mjs,n/a,8b0b9d7b635590068b68f9acf69b742ab76f5a5af2aeb615db0fa9f8d37dbdc6,n/a,7189,n/a,0o644
modified,src/packages/control-ui/src/api/planners.ts,28bff5b050ba3469cb9b01ade1d8a1a50bb6f365a9ee613ef4d5b1dcfa41e56e,3710093a323554261807d3af107b5186f3429b8eb77353e4807b65d0e1d2dd79,21707,23331,0o644,0o644
modified,src/packages/control-ui/src/pages/Operations.tsx,5a202d5667e1ab7223801d6a7cfa31dedc21b41f5d3594a317545aaf5ee9bece,68ef9ea7d5ee13a2add4a3e8357d8380e2e8497f7d30f8420c1fc9f113313bfe,128070,131670,0o644,0o644
modified,src/packages/lumicore/src/evasion/sni_bypass.rs,9828722f758aff8e306e8aa8dc97c8f63957e64f735b1e2ba21e005a5a4f6a2e,3ce9d301833a6689da2329b607b2ad13b84837702e50a6203f56fe5a9a65352d,11413,11721,0o644,0o644
modified,src/packages/lumicore/src/evasion/sni_spoof.rs,55d0eb5eff4dd542858a364551f9e86388d0538a7d3cd5be3e1ae674432ede1e,67384344d3d8bb412df9ec4d4de8d354189c09cd4c31eb0b50baef1ae457547d,15379,16047,0o644,0o644
