project,role,wave,surface_count,evidence_records,resolution,target_value,boundary,surface_matrix
v2ray_client-master,donor,post-refactor-160,80,PR160-M019,superseded,profile/runtime/observability capabilities owned natively,No second client stack.,post-refactor-160-surface-accountability.csv
IPRadar2ForLinux,donor,post-refactor-180,46,PR180-M001;PR180-S009,promoted,canonical flow registry + local provider attribution + derived network intelligence,Process termination/firewall automation remains outside the flow observation authority.,post-refactor-180-surface-accountability.csv
SNI-Spoofing-Go,donor,post-refactor-180,52,PR180-M002;PR180-S018,rejected-with-reason,negative evidence only,Raw wrong-sequence packet injection would create a second low-level packet authority.,post-refactor-180-surface-accountability.csv
SNI-Spoofing-Pro,donor,post-refactor-180,31,PR180-M003;PR180-S019,rejected-with-reason,negative evidence only,Raw fake-TCP/SNI injection and service deployment remain outside coherent product authority.,post-refactor-180-surface-accountability.csv
Sanaei-3xui-v2ray,donor,post-refactor-180,150,PR180-M004;PR180-S021,rejected-with-reason,server-admin UX/reference evidence only,Multi-user Xray server administration is a separate control-plane product/authority.,post-refactor-180-surface-accountability.csv
Scrapling,donor,post-refactor-180,236,PR180-M005;PR180-S012,promoted-with-guardrails,credential-redacted persisted intents + explicit lineage-tracked interrupted-job requeue,No automatic boot replay; consequential/secret-bearing jobs remain non-reconstructible.,post-refactor-180-surface-accountability.csv
Shin-TG-V2ray-Collector,donor,post-refactor-180,10,PR180-M006;PR180-S024,rejected-with-reason,negative supply-chain evidence only,Untrusted scraped public configuration corpus is not embedded as trusted product data.,post-refactor-180-surface-accountability.csv
Throne,donor,post-refactor-180,844,PR180-M007;PR180-S011,promoted,connection/process metadata contract + exact AnyTLS idle-session fields,Desktop process enforcement is not inferred from observation metadata.,post-refactor-180-surface-accountability.csv
V2RayDAR,donor,post-refactor-180,62,PR180-M008;PR180-S014,promoted-selectively,strict generated-output re-ingest proof and compatibility evidence,"External runtime execution remains an optional release oracle, not a second runtime owner.",post-refactor-180-surface-accountability.csv
Vwarp,donor,post-refactor-180,195,PR180-M009;PR180-S015,superseded,existing WARP scanner/runtime owners,No donor staged pipeline duplication.,post-refactor-180-surface-accountability.csv
WarpScanner,donor,post-refactor-180,41,PR180-M010;PR180-S004,preserved,real-handshake loss/jitter/median WARP ranking,Peer arbitrary score/worker model remains superseded.,post-refactor-180-surface-accountability.csv
Yacd-meta,donor,post-refactor-180,226,PR180-M011;PR180-S010,promoted,Connections operator plane with search/filter/detail/owner-delegated close,UI never claims host-wide completeness; no close-all shortcut.,post-refactor-180-surface-accountability.csv
gotk4,donor,post-refactor-180,168,PR180-M012;PR180-S023,rejected-with-reason,toolchain/reference evidence only,No second GTK UI/toolchain beside shared React/Wails/Android product surfaces.,post-refactor-180-surface-accountability.csv
ipscan,donor,post-refactor-180,350,PR180-M013;PR180-S016,superseded,existing bounded scanner plus derived flow/path intelligence,No parallel scanner orchestration.,post-refactor-180-surface-accountability.csv
libcrafter,donor,post-refactor-180,1284,PR180-M014;PR180-S006;PR180-S007;PR180-S008,preserved,declared-length packet guards + bounded conflict-aware IPv4 reassembly,Raw packet construction/injection is not generalized into new authority.,post-refactor-180-surface-accountability.csv
mylg,donor,post-refactor-180,392,PR180-M015;PR180-S003,promoted,truthful traceroute + derived path intelligence,No second scanner/runtime owner.,post-refactor-180-surface-accountability.csv
obfuscated-openssh,donor,post-refactor-180,450,PR180-M016;PR180-S020,rejected-with-reason,negative compatibility evidence only,No legacy SSH protocol fork.,post-refactor-180-surface-accountability.csv
okhttp,donor,post-refactor-180,616,PR180-M017;PR180-S001;PR180-S002,preserved,bounded redirects/loops + bounded Retry-After,Existing post-180 implementation remains authoritative.,post-refactor-180-surface-accountability.csv
subconverter,donor,post-refactor-180,508,PR180-M018;PR180-S013,promoted-selectively,local compatibility conversion + RE2 shaping + detour-safe graph transforms,"No embedded scripting, remote includes, filesystem traversal, or second parser authority.",post-refactor-180-surface-accountability.csv
tailscale-rs,donor,post-refactor-180,485,PR180-M019;PR180-S005;PR180-S017,promoted,passive daemon network epochs + existing immutable LPM provider index,Observation never becomes route mutation or network acquisition.,post-refactor-180-surface-accountability.csv
tsidp,donor,post-refactor-180,86,PR180-M020;PR180-S022,rejected-with-reason,identity-boundary reference evidence only,LumiNet does not become a general-purpose OIDC identity provider.,post-refactor-180-surface-accountability.csv
Aether-GUI-main(1),donor,post-refactor-222,123,PR222-S001,reference-only:1,Aether GUI exact-byte historical revalidation,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Aether-main(1),donor,post-refactor-222,2195,PR222-S002;PR222-S077,reference-only:2,Aether exact-byte historical revalidation; Aether archive symlink aliases,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Captcha_hacking-master,donor,post-refactor-222,237,PR222-S022;PR222-S021,reference-only:1;rejected-with-reason:1,CAPTCHA solver/training pipeline,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
DNS-Persist-master(1),donor,post-refactor-222,30,PR222-S006,reference-only:1,DNS-Persist exact-byte historical revalidation,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Deanonymizing-quietly-all-of-Tor-main,donor,post-refactor-222,1,PR222-S023,guardrail-derived:1,Tor deanonymization/correlation research claim,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
EDtunnel-main,donor,post-refactor-222,51,PR222-S031;PR222-S033;PR222-S032;PR222-S029;PR222-S030,adapted:1;guardrail-derived:1;recomposed:1;reference-only:1;superseded:1,remembered proxy success and bounded fallback; multi-proxy rotation/fallback diversity; Cloudflare Worker VLESS/Trojan/SOCKS/UDP runtime; path/query proxy and credential overrides,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
HackingDetectingSystemOfUnauthorizedLoginDevices-master,donor,post-refactor-222,212,PR222-S038;PR222-S035;PR222-S036;PR222-S037;PR222-S034,guardrail-derived:1;reference-only:2;rejected-with-reason:1;superseded:1,new-IP/device/browser/OS/time/impossible-travel/VPN/bot risk signals; password/OAuth/OTP/reset/email account authority; failed-login lockout/brute-force controls,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Kloak_platform-master(1),donor,post-refactor-222,317,PR222-S010;PR222-S043;PR222-S044;PR222-S039;PR222-S040;PR222-S041;PR222-S042,guardrail-derived:2;reference-only:3;rejected-with-reason:1;superseded:1,custom PBKDF2/OpenPGP/browser crypto; plain JSON configuration persistence carrying identity/connection material; localhost-only URL validation gap; browser workers/download queues,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Marz-main,donor,post-refactor-222,5,PR222-S045;PR222-S081,adapted:1;reference-only:1,one-tap subscription deep-link proposal,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Marzban-node-master,donor,post-refactor-222,17,PR222-S046;PR222-S047;PR222-S048;PR222-S049;PR222-S050,guardrail-derived:1;reference-only:1;superseded:3,client-certificate node API admission; Xray process lifecycle callbacks and capped log deque; inbound allow-list and API route filtering; self-signed long-lived certificate / optional-insecure RPyC fallback,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
Nabzram-master,donor,post-refactor-222,79,PR222-S011;PR222-S058;PR222-S060;PR222-S059;PR222-S056;PR222-S057,adapted:2;reference-only:2;superseded:2,pause live-log tail when operator scrolls; theme preference/context; Xray process/subscription/TinyDB desktop backend; desktop update-check/download workflow,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
TaoConnect-main,donor,post-refactor-222,29,PR222-S012;PR222-S068;PR222-S065;PR222-S066;PR222-S067,recomposed:1;reference-only:2;rejected-with-reason:1;superseded:1,dark/theme preference; lease expiry and profile-validity awareness; timer-only browser expiration notifications,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
VpnDad-main,donor,post-refactor-222,38,PR222-S014;PR222-S072;PR222-S071;PR222-S069;PR222-S070;PR222-S073,adapted:1;hardened:1;reference-only:2;superseded:2,health verdict and bounded timeline; shareable diagnostic bundle with secret minimization; Keychain/profile repository and secret-minimized export; iOS PacketTunnel/engine bridge lifecycle,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
ZedPass-main(1),donor,post-refactor-222,136,PR222-S008,reference-only:1,ZedPass exact-byte historical revalidation,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
bittorrent-nodeid-master,donor,post-refactor-222,4,PR222-S015,extracted:1,BEP42 IPv4 node-ID binding,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
cdin-main,donor,post-refactor-222,168,PR222-S009;PR222-S028;PR222-S024;PR222-S026;PR222-S025;PR222-S027,adapted:2;extracted:1;reference-only:2;rejected-with-reason:1,keyboard command palette; deterministic fuzzy subsequence ranking; bounded command history / recent destinations; editor filesystem/terminal/plugin authority,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
coredns-master(1),donor,post-refactor-222,985,PR222-S003;PR222-S078,reference-only:2,CoreDNS exact-byte historical revalidation; CoreDNS repository-administration symlink aliases,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
defyxVPN-main,donor,post-refactor-222,315,PR222-S004,reference-only:1,defyxVPN exact-byte historical revalidation,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
dns-over-https-proxy-master(1),donor,post-refactor-222,1091,PR222-S005;PR222-S079,reference-only:2,DNS-over-HTTPS proxy exact-byte historical revalidation; DoH proxy vendor-source symlink alias,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
goida-vpn-configs-main,donor,post-refactor-222,74,PR222-S007,reference-only:1,goida VPN configuration corpus exact-byte historical revalidation,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
mission-improbable-master,donor,post-refactor-222,40,PR222-S051;PR222-S054;PR222-S052;PR222-S053;PR222-S055;PR222-S080,adapted:1;guardrail-derived:2;hardened:1;reference-only:1;rejected-with-reason:1,"downloaded release/signature verification before install; durable signed-artifact publication; explicit signing-key ownership and immutable release inputs; root/ADB/fastboot flashing, signature spoofing and OS image mutation; bundled signing/verity JARs and helper binaries",peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
stealthspanner-master(1),donor,post-refactor-222,10,PR222-S063;PR222-S061;PR222-S064;PR222-S062,extracted:1;rejected-with-reason:2;superseded:1,latency jitter and packet-loss evidence; automatic provider VPN-config download; subjective country privacy score; broad UFW reset kill switch and home-directory VPN credentials,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
torrent-live-master(1),donor,post-refactor-222,96,PR222-S013;PR222-S020;PR222-S018;PR222-S019;PR222-S017;PR222-S016,adapted:1;guardrail-derived:1;inspired-native:1;recomposed:1;reference-only:1;rejected-with-reason:1,bounded peer candidate admission and duplicate evidence; local IPv4 range deny policy; same-IP/different-port observation without NAT false positives; active fake-infohash/findspies peer probing; torrent streaming/storage/freerider runtime,peer evidence only; no donor package owns target authority,post-refactor-222-surface-accountability.csv
