path,change_type,accountability_class,second_order_record_ids,source_peer_record_ids,reason,verification_node,peer_converged_sha256,current_sha256
scripts/checks/check_peer_convergence.py,modified,governance-verification,n/a,n/a,Preserve the original peer-convergence 100-row hash evidence while allowing only an explicit second-order successor hash chain.,scripts/checks/check_peer_convergence.py,b30aff5d504c8131d68fab21905fecf06a9ad11cfc2a56b4e0c0948c381895a2,b41382a4464e5e085b0a4f76cebd94059bc1773cc59a8f35210cb6e0dbd7cee1
scripts/checks/check_remote_http_actions.py,added,governance-verification,SO-SEM001;SO-SEM002,SEM055;SEM095,Maintain a bidirectional registry/audit denominator for daemon remote HTTP actions and replay safety classes.,scripts/checks/check_remote_http_actions.py,n/a,1171215a2bc6142b1b3a3849dc0f9d0ad31e60f5a7fdeda6f3597f324bab5e55
scripts/checks/check_second_order_convergence.py,added,governance-verification,n/a,n/a,Verify exact baseline-to-current delta coverage and second-order provenance/repair evidence.,scripts/checks/check_second_order_convergence.py,n/a,e12bd798997b5b2f09a2a4e59cfe908a89436ee93bdf0870deab68971f147fe8
src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go,modified,semantic-owner,SO-SEM003;SO-SEM004,SEM023;SEM105,"Promote source freshness, backoff, redacted failure evidence, and service-owned automatic refresh inside ProfileService.",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,76a43685e06d222c4a00269e1d3d532daae36280f5e64eb3d94a42feb9190032,279d153deb0d883f21ced50a00a381549ad1108eeb689ea5d699078e2b1da41b
src/apps/daemon/internal/adapters/api/handlers_subscription_profiles_test.go,modified,acceptance-evidence,SO-SEM003;SO-SEM004,SEM023;SEM105,"Promote source freshness, backoff, redacted failure evidence, and service-owned automatic refresh inside ProfileService.",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,54b7de20a63ba2ce7139813a9435dfd60ec549f041af898759b10f314f3db125,601ee4195d270f720d96505c2e5da467ef314e940efed91bde172f0c76d0c2ad
src/apps/daemon/internal/adapters/api/router.go,modified,semantic-owner,SO-SEM003;SO-SEM004,SEM023;SEM105,"Promote source freshness, backoff, redacted failure evidence, and service-owned automatic refresh inside ProfileService.",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,5a30b7ca371141f3abe0c9713d8b3fe88f3755eeb97fcae05d51157f8c410f9e,d18c62715590665da70ad43a765d07d52bff8878f7fa66c4f6866d6a405ad074
src/apps/daemon/internal/analysis/scanner/cloudflare_deployer.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,abaf1e5b65ec9bb62b7270f3ab588a171338008d8d5060e444347aa5829ac225,faa544ccdfd54344fb00833df24e3d0d7d999de34275d9393b075455611e407e
src/apps/daemon/internal/analysis/scanner/cloudflare_deployer_retry_test.go,added,acceptance-evidence,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,58836e9c5e17a3ce3f5ffdf7f4909daa9e80921a1bf7c831c058da9b19a65958
src/apps/daemon/internal/foundation/.context,modified,source-context,SO-SEM001;SO-SEM002,SEM055;SEM095,Expose the new foundation owner and its replay-safety invariants in source navigation.,src/apps/daemon/internal/foundation/remoteaction/.context,0374327e752d1722ea962aef77165155fd7fa097aecfa7b3a6a00d686f7fdb19,2281ba47fc03a5e2e60295007bcb04dc02c5da4034408fd35ea114478df0cd92
src/apps/daemon/internal/foundation/remoteaction/.context,added,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,24b793d573b6503dd6ef276baefd668e8eb331f1227c10f6526377f71d1bbec3
src/apps/daemon/internal/foundation/remoteaction/remoteaction.go,added,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,e598dc278f46b1e7a91ad3566d1cfdccffa4f160608748a94c445d57b8294e4c
src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,added,acceptance-evidence,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,5eb9859c53baec6019045bf52c467c2ac748934de990e11d0a168c96a6c6bfbc
src/apps/daemon/internal/integrations/captchaclient/solver.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,d067fbd2dec7f7d6bbf3acc16514b28acdb341cb8e3ce812607eb3dfb6aef40a,55563df6652f21489350a2876963d16efa9ada62622ec2e893ae8b9d94515598
src/apps/daemon/internal/integrations/notifier/notifier.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,d0dc69a80cdbf3a9a38ffc19c2342f972ea2a1060a3a8d50e57a31466a0e642a,5a700ac854ec79614af4bb94c8f7c7a1794a86494ff2e6c35ed17289e44e6c58
src/apps/daemon/internal/integrations/provision/cloudflare.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,f1ff8f86136dc166638d9c31033d6ae676f63debf75d9da2a3c88f56a64f837d,36b69e771c164ee16030d94dab5b2caedbf3b659476d034f1fb44f7443fd0485
src/apps/daemon/internal/integrations/provision/cloudflare_retry_test.go,added,acceptance-evidence,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,c8d488304d1468fff362bbbe61a58c341c3800d7f07903e0ca8216add7985876
src/apps/daemon/internal/integrations/sub/profile_service.go,modified,semantic-owner,SO-SEM003;SO-SEM004,SEM023;SEM105,"Promote source freshness, backoff, redacted failure evidence, and service-owned automatic refresh inside ProfileService.",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,18a7918b759f284d57e00750c9d3d3cb28fddc23d49321b59e538c63ad6e0526,bece12a04fd80362fb08c2a43541c114edcedc173513698e94e2b8a8235b900d
src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,added,acceptance-evidence,SO-SEM003;SO-SEM004,SEM023;SEM105,"Promote source freshness, backoff, redacted failure evidence, and service-owned automatic refresh inside ProfileService.",src/apps/daemon/internal/integrations/sub/profile_source_health_test.go,n/a,c05ae50eeadc6c09a2d2aa8ddced7fd66128eddf5168b7464026c4c22b51de24
src/apps/daemon/internal/networking/dns/ddns_retry_test.go,added,acceptance-evidence,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,84e66d2e9348a9772b34552a4d0cd776a5d7828c4c792d057eb4b19543c08b4c
src/apps/daemon/internal/networking/dns/ddns_updater.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,c318bb27a86ac8f708c28392a746491fb3de424a2a0a50d4db3c74b67550d254,82400989552b83b02d058ed99ec00b22b54cf484885dc701a34609cc81ba80b4
src/apps/daemon/internal/platform/system/plimit_probe.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,b0645496510e49b0704b4ff511b4875d2d96e5019e4e0a427bc55d7614373067,d6f4a3783d79344c8cbd5cef4435bbd9a9c9e5655e6e56e4c75255a5a0de89a7
src/apps/daemon/internal/platform/system/portal_bypass.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,e70c4907b79b9d4a5dc1f4b89c000a1a344c9796c977d5819472a813a7446e3f,97020719b0f672688e4f44775b1912ffbe6cddbff117905792771b192afafb0e
src/apps/daemon/internal/runtime/decoy/manager.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,7b45d5b44c631624d52fe3b516b3ec1225464124f21c500d22bf2d946a6c8cb1,12e7b2c121d38079f7088d9c4eb8977ae036e481978e8edfe9f3ee4588f3d60b
src/apps/daemon/internal/runtime/proxy/covert_gdocs.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,7ff40425d6b85399de4050184469db7bfe4c7b990aa392e4ff06bc649f7231b1,b89950e6c26479cb85fdbfdb070da65f60df3fae6e5c7998fe122976be5e2196
src/apps/daemon/internal/runtime/proxy/gdrive_transport.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,222a1a2bbe222eff077f6f3474c43a4cc600c64a632ba79ad54e271535f421d8,3accca948afd5bc1590095fe72d829bc224bc09b68c107dd19ffd869d582705b
src/apps/daemon/internal/runtime/proxy/google_drive_actions.go,added,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,685c84de47eb9bd2005be514eaca4da2c8fa35dc68c4c9a12b5cff07b9311468
src/apps/daemon/internal/runtime/proxy/google_drive_actions_test.go,added,acceptance-evidence,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,n/a,ab9919661b9cbaee2e2c359c4c2ed7ff5a08ef7fdb0c6270bed6d65e9212a707
src/apps/daemon/internal/runtime/warp/warp.go,modified,semantic-owner,SO-SEM001;SO-SEM002,SEM055;SEM095,Implement or validate bounded replay-safe remote mutation behavior under the target-owned remote-action authority.,src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,cea5c336f2a098b282d9fe15a147d951362577be404d66386cd6fa514915c79a,f52324ffdf9f679bbcdc58a83c6b7c832a0378708e174ddd9c8e54c50a4d10d7
