donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition
Subnet-Divider-main,Subnet-Divider-main.zip,4821c3c767b80e3008d3c36894ee8727426ef7ff909a9fa58e8bdc08295dafb0,3,2,1,3,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
V2RayN-PRO-main(1),V2RayN-PRO-main(1).zip,5e5e3162c6aa3d2311266d738e396a9a15e7c68a9d06fbd2217e5dfd8c65589d,72,61,11,0,0,GPL-family copyleft plus bundled third-party binaries/notices; target does not copy source/binaries,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
V2ray-for-Doprax-main(1),V2ray-for-Doprax-main(1).zip,9395bd68bccfd6f86c80656285061a9da863fb98f20aeca3f8ba9035eedb3f37,11,9,2,0,0,no explicit root license in archive,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
bia-pain-bache-main,bia-pain-bache-main.zip,d3df5220f6041ef7a0f6e2d1258e50292899dbc7073e6e8e938701966f1a884e,55,50,5,288,0,GPL-2.0; evidence/independent comparison only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
caddy-master,caddy-master.zip,dc21aecbfd41e950074fc80da603198cba5f8e14c0aa6445447e2838b4b7a5eb,688,627,61,3733,0,Apache-2.0,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
coredns-master,coredns-master.zip,99a1da842b6a5144590f526e7fe65835077255bc17c2f413aaefddc9c3d030f9,1103,985,118,4106,3,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
defyxVPN-main(1),defyxVPN-main(1).zip,60c37bdee140394cf5bb7618a7e54917600946befda4b75fc7ac162002f2c33e,676,503,173,215,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
dns-over-https-proxy-master,dns-over-https-proxy-master.zip,2aa075051e81ed0daae1d3bb3db666e16a9b4e4358f5b16043caed40bcfee84f,1294,1091,203,16,1,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
ev-master_(1),ev-master (1).zip,d936beca1266c8e4ab915732c05d89a515f4a5c50a3152c31f2e898060efb281,16,14,2,47,0,no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
eve-xui-manager-main,eve-xui-manager-main.zip,e178da00b9d58f858132fceac6417f0a1b7905a53545c6ea645bf0892eff9ea2,103,91,12,2087,0,no explicit license; evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
firewalla-master,firewalla-master.zip,3b2a30af746488484b4d7a0c6b335a20e268dfe07565ac7c598bbfab57083b04,2599,2249,350,3542,33,AGPL-3.0; target independently rederives selected semantics,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
ftpscan-master,ftpscan-master.zip,d6f7a61feaceb4205291070d20e4ba540af635c62afdd5e3e1970124e7fa2051,11,10,1,12,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
godnsagent-master(1),godnsagent-master(1).zip,ff39d81b6cb5a1dd4269526efd121691d1b4cc8d9e2635c0f767fcfd70a1ff69,25,21,4,26,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
gologin-main,gologin-main.zip,da7b0d99e4ea62bf77c69f8083bd7cc301dba651ae4b680e97f02cf042d02d12,92,75,17,208,0,MIT,direct adaptation permitted with attribution,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
incy-platforms-main,incy-platforms-main.zip,c322a1eb91b52e8191ab76b4ac9c201161ada0c528efd9db3233a4291c28db1f,3,2,1,0,0,no explicit license; descriptive reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
lossyconn-master,lossyconn-master.zip,b2ed9ec6f403bed4a8bdfb2d4c7149a12b83715c4458837df9320afecec97b02,10,9,1,46,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
nahan-main(1),nahan-main(1).zip,faaa095b2e0f9e66a1a2abe57744eb66fc4b9207683ecf87e600f205f16c4848,17,14,3,200,0,no explicit license; new revision evidence only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
openssl-cffi-master,openssl-cffi-master.zip,99322671d546b84e1076ae304eabc1ddfd9edc600129f62beff52bbf14b4530a,5,4,1,5,0,Apache-2.0,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
sing-geoip-main,sing-geoip-main.zip,3f7a90618be692321dada33b8ca52aa27571a157a38530d3ea063356bc8d13f7,16,13,3,11,0,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
sing-geosite-main,sing-geosite-main.zip,f054fa0081b791fc0787e9dd94404c54334a5b9edc46aebae38ace01c68e6001,16,13,3,14,0,GPL-family copyleft; target does not copy generator source,no direct donor source reuse for eighth-order changes; independent target-native rederivation/evidence only unless pre-existing compatible boundary already exists,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
snowbox-master,snowbox-master.zip,fb9a4abdc8f26aaa779cdbfd6addf7a0be8a63c8c342680913953413081643af,12,11,1,0,0,no explicit license; test-environment reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
sysproxy-main,sysproxy-main.zip,61a7ee336866edf6c019c473a74dbccf87a19929b41e3eb7b79748021e6f88db,11,7,4,4,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
torrequest-master,torrequest-master.zip,d0a4dceabc6f7db99b4ea41799fc63475aacc16e9dbad3bf69fd7da64b9cc0b2,6,5,1,16,0,metadata declares MIT,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
unique-queue-master,unique-queue-master.zip,d2d7a3181b38df8464d37f0e17552b8347ee82d912232b08bd5f4ca08857b019,9,8,1,28,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
v2rayng-panel-main(1),v2rayng-panel-main(1).zip,fe7b75817fc8cdc62c16025affd05327c39ec086508f551b394358017a83a454,2,1,1,0,0,no explicit license,no direct source reuse; concepts/negative evidence/reference only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
vps-warp-main(1),vps-warp-main(1).zip,4466f36e5c9084a472f55b1b3cbd6ce93dfdac39b38c9213e2e5ef29f08c044c,4,3,1,7,0,MIT,"permissive source eligible for comparison/adaptation, but target-native authority and correctness gates still apply",none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
x-ui-pro-master,x-ui-pro-master.zip,d7011ed3a2065bb59993fd7c8a54e1c390a74c22254be3fb1a721cd20d573156,27,25,2,11,0,no explicit license; operational guardrail/reference only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
zeus-main(1),zeus-main(1).zip,746d56b08c15e6b22305b2b35b67c01cee02d07c25bd84042be280fbeda603a9,11,9,2,103,0,no explicit license; selected concepts independently rederived only,no source copying; evidence/reference/independent rederivation only,none; validated before extraction,revalidated against current target; detailed semantics in final-pass adoption ledger
