donor,path,symbol,line,snippet,sha256,semantic_record_ids
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,shareReport,153,private fun shareReport(report: String) {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,copyReport,162,private fun copyReport(report: String) {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainActivity.kt,startService,167,private fun startService(settings: AppSettings) {,a8276e864d35fefd4e2dcc2535a3200b5cb62c18ca4e8287a40ece62a3b4f156,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,class,23,enum class EndpointOperation {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,EndpointScannerState,29,data class EndpointScannerState(,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,MainViewModel,36,class MainViewModel(application: Application) : AndroidViewModel(application) {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,save,49,fun save(settings: AppSettings) {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,scanEndpoints,53,fun scanEndpoints(settings: AppSettings) {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,result,69,var result = withContext(Dispatchers.IO) {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,testEndpoint,113,fun testEndpoint(settings: AppSettings) {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,cancelEndpointScan,150,fun cancelEndpointScan() {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/MainViewModel.kt,canRunEndpointOperation,160,private fun canRunEndpointOperation(): Boolean {,275d2b10c99e88367be50d8346e0fb9752dab0e15dc52bc178066053982a572e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/WhiteAestherApplication.kt,WhiteAestherApplication,5,class WhiteAestherApplication : Application(),f5cd143cf72e79bd8777ab7cd86da0b5ec3ce775e95f0bdd97120c4d25e8d0cc,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,interface,5,fun interface NativeSocketProtector {,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,protectSocket,6,fun protectSocket(fd: Int): Boolean,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,interface,9,fun interface NativeEngineListener {,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,onNativeReady,10,fun onNativeReady(),e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,PreparedEngine,13,data class PreparedEngine(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,NativeResult,19,data class NativeResult(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,EndpointScanResult,24,data class EndpointScanResult(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,NativeAetherBridge,29,object NativeAetherBridge {,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,versionOrNull,37,fun versionOrNull(): String? = loadResult.mapCatching { nativeVersion() }.getOrNull(),e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,validate,39,fun validate(configJson: String): NativeResult = call { validateConfig(configJson) }.toResult(),e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,prepare,41,fun prepare(configJson: String): Result<PreparedEngine> = call { nativePrepare(configJson) },e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,scan,57,fun scan(configJson: String): Result<List<EndpointScanResult>> = call { nativeScan(configJson) },e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,testEndpoint,65,fun testEndpoint(configJson: String): Result<EndpointScanResult> = call {,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,cancelScan,73,fun cancelScan(): Boolean = isLoaded && nativeCancelScan(),e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,run,75,fun run(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,stop,84,fun stop(): Boolean = isLoaded && nativeStop(),e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,setSocketProtector,86,fun setSocketProtector(protector: NativeSocketProtector?) {,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,Result,96,private fun Result<String>.toResult(): NativeResult = fold(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/core/NativeAetherBridge.kt,JSONObject,109,private fun JSONObject.toEndpointScanResult() = EndpointScanResult(,e4134eacf34e1fe567bf81f8c4f45195282ecd34453f03f66eaf9bece16f78d1,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,class,9,enum class EngineMode(val wireName: String) {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,class,14,"enum class MasqueTransport(val wireName: String, val label: String) {",f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,class,19,"enum class ScanStrategy(val wireName: String, val label: String) {",f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,class,27,enum class EndpointMode(val label: String) {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,class,33,enum class ThemeMode(val label: String) {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,EndpointAddress,39,object EndpointAddress {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,normalize,40,fun normalize(value: String): String? {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,AppSettings,69,data class AppSettings(,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,endpointValidationError,87,fun endpointValidationError(): String? = when {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/AppSettings.kt,toNativeJson,94,fun toNativeJson(context: Context): String {,f131350dc7708986838ec1a23c2603de0a6f00fd44eac337572fc02f29f9656d,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/data/SettingsRepository.kt,SettingsRepository,14,class SettingsRepository(private val context: Context) {,53e2b3575c46117ed3f2e8e7507989660da9c708312fbdfdf8ed2e3fd0bda34b,PR223-R01
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherNotification.kt,AetherNotification,13,object AetherNotification {,0b83268d52c4ee26b3f267c3f040dce38c064aba5833fccefb3571278280221e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherNotification.kt,createChannel,17,fun createChannel(context: Context) {,0b83268d52c4ee26b3f267c3f040dce38c064aba5833fccefb3571278280221e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherNotification.kt,build,31,"fun build(context: Context, title: String, text: String): Notification {",0b83268d52c4ee26b3f267c3f040dce38c064aba5833fccefb3571278280221e,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,AetherVpnService,33,class AetherVpnService : VpnService() {,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,restartPolicy,49,var restartPolicy = START_NOT_STICKY,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,replaceSession,96,private fun replaceSession(configJson: String) {,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,establishTun,209,"private fun establishTun(ipv4: String, ipv6: String): ParcelFileDescriptor? {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,addAddress,238,"private fun addAddress(builder: Builder, cidr: String, defaultPrefix: Int) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,stopFromUser,245,"private fun stopFromUser(message: String = ""Stopped"") {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,reportError,276,"private fun reportError(mode: EngineMode?, message: String) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,scheduleReconnect,289,private fun scheduleReconnect(,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,sessionSummary,322,private fun sessionSummary(configJson: String): String = runCatching {,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,transportOf,336,private fun transportOf(configJson: String): String =,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,configForAttempt,346,"private fun configForAttempt(configJson: String, attempt: Int): String {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,reconnectDelayMs,357,private fun reconnectDelayMs(attempt: Int): Long =,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,giveUp,365,"private fun giveUp(mode: EngineMode, reason: String) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,finishIfCurrent,378,private fun finishIfCurrent(sessionGeneration: Long) {,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,startForegroundNow,384,"private fun startForegroundNow(title: String, text: String) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,updateNotification,398,"private fun updateNotification(mode: EngineMode?, text: String) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,connectedMessage,410,"private fun connectedMessage(mode: EngineMode, configJson: String): String = when (mode) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,start,430,"fun start(context: Context, configJson: String) {",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,stopIntent,439,"fun stopIntent(context: Context): Intent = Intent(context, AetherVpnService::class.java)",d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/AetherVpnService.kt,stop,442,fun stop(context: Context) {,d6c5b0ed5bf0204ec41d51f42637463bf3eea0842d6b840e38a90fe1d5f99d18,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,class,10,enum class LogLevel {,566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,LogEntry,17,data class LogEntry(,566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,formattedTime,23,fun formattedTime(): String = TIME_FORMAT.format(Date(timeMillis)),566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,EngineLog,35,object EngineLog {,566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,record,48,"fun record(level: LogLevel, tag: String, message: String) {",566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineLog.kt,clear,54,fun clear() {,566f29789aae2e2bcb8316529dec33e86d3dc358efd0b7023e888f9b30890b68,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineStatus.kt,class,7,enum class EngineStage {,992f745360910c7aec0dff886ba12883890609a49f51042b34473443f9093dfa,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineStatus.kt,EngineStatus,16,data class EngineStatus(,992f745360910c7aec0dff886ba12883890609a49f51042b34473443f9093dfa,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineStatus.kt,EngineStatusStore,25,object EngineStatusStore {,992f745360910c7aec0dff886ba12883890609a49f51042b34473443f9093dfa,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/service/EngineStatus.kt,update,29,fun update(status: EngineStatus) {,992f745360910c7aec0dff886ba12883890609a49f51042b34473443f9093dfa,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,strokeIcon,51,"private fun strokeIcon(name: String, vararg pathData: String): ImageVector =",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,AetherIcons,71,object AetherIcons {,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,stroke,156,"fun stroke(width: Float, data: String) = addPath(",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,SectionLabel,180,"fun SectionLabel(text: String, modifier: Modifier = Modifier) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,PageTitle,190,"fun PageTitle(title: String, subtitle: String? = null) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,CrumbBar,201,"fun CrumbBar(text: String, onBack: (() -> Unit)? = null) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,AetherCard,229,fun AetherCard(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,CardHead,246,"fun CardHead(title: String, subtitle: String? = null) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,Divider,257,fun Divider(modifier: Modifier = Modifier) {,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,RowCard,267,fun RowCard(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,FactRow,306,"fun FactRow(key: String, value: String, mono: Boolean = false) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,SettingRow,327,fun SettingRow(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,AetherSwitch,349,"fun AetherSwitch(checked: Boolean, onCheckedChange: (Boolean) -> Unit, modifier: Modifier = Modifier) {",16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,ChoiceCard,420,fun ChoiceCard(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,Double,471,private fun Double.sp() = androidx.compose.ui.unit.TextUnit(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,OptionRow,478,fun OptionRow(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,AdvancedSection,553,fun AdvancedSection(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,AttentionCard,589,fun AttentionCard(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
whiteaesther_mobile,app/src/main/java/com/whitedns/whiteaesther/ui/AetherComponents.kt,PrimaryButton,630,fun PrimaryButton(,16e40664645d9afa6d7641ed5311f39768839f31bec30b3a33cefcf6b16500e3,PR223-R01;PR223-S014
