wave,donor,archive,archive_sha256,member_count,file_surfaces,directories,symbols,symlinks,license_posture,source_reuse_policy,archive_issues,final_disposition,nested_members
post-refactor-20c,fsociety-master,fsociety-master.zip,8441e1c85ca86cb64d00251cc4914c3945fd0786837d6b86a05e9c8355244ff2,50,44,6,170,0,MIT,source reuse legally possible; offensive mechanisms are rejected and used only as defensive negative evidence,none; CRC/path/duplicate/case/type checks passed before extraction,offensive toolkit capabilities rejected completely; defensive taxonomy/guardrails only,0
post-refactor-20c,fteproxy-master,fteproxy-master.zip,1ead2c4fb794188e711517e3b4cc5dc0f86f2a46af071c032840fb73f06b46bb,67,54,13,197,0,MIT,source reuse legally possible with attribution; this release uses protocol/reference semantics only,none; CRC/path/duplicate/case/type checks passed before extraction,record/framing and format-transform reference; new FTE client/server transport authority rejected,0
post-refactor-20c,fwlite-master,fwlite-master.zip,a7a03d99e600c3de055acf94def6d1d43e96b1d51d25b3e38e26eb7d24305146,8,6,2,0,0,GPL-3.0 per README,no direct source reuse; concepts/negative evidence/reference only,none; CRC/path/duplicate/case/type checks passed before extraction,routing/operator reference; mutable updater and external-list source-of-truth rejected,0
post-refactor-20c,go-tun2socks-master,go-tun2socks-master.zip,153ce0f3c8a8d8637f33de72e82bac74a2a16e4c84034fed2408783931c1ea12,259,235,24,117,0,MIT,source reuse legally possible with attribution; existing target TUN owner remains authoritative,none; CRC/path/duplicate/case/type checks passed before extraction,TUN lifecycle reference; current LumiNet TUN/NAT owner supersedes second lwIP stack,0
post-refactor-20c,gost-master,gost-master.zip,805e4c73fa2b5e8325460f3fcf686bfaef190997b139961105d7e3355eff2252,134,116,18,1615,0,MIT,source reuse legally possible with attribution; whole proxy/server authority remains rejected,none; CRC/path/duplicate/case/type checks passed before extraction,chain/permission reference; embedded credentials and whole proxy/server authority rejected,0
post-refactor-20c,grasshopper-main,grasshopper-main.zip,69ca4d6424f701c0b9dd996028c2997ba953b6fac016fe168c7a39a93ccf41be,935,820,115,113,0,MIT,source reuse legally possible with attribution; custom transport/crypto authority remains rejected,none; CRC/path/duplicate/case/type checks passed before extraction,packetization reference; custom QPP/multi-cipher transport authority rejected,0
post-refactor-20c,hawk-proxy-main,hawk-proxy-main.zip,9bedd5ce52d61518bc36954b3ef63a85016e3331f14af35b20b821560de7401d,12,10,2,13,0,no explicit license file found; badge alone not treated as license grant,no direct source reuse; negative evidence/reference only,none; CRC/path/duplicate/case/type checks passed before extraction,domain-boundary negative evidence converged; installer and proxy authority rejected,0
post-refactor-20c,hping-master,hping-master.zip,6758e5204ec34532f52c1da292f3911941cbeb023c13d79ea949aebaff58be8b,149,142,7,524,0,GPL-2.0-only with noted BSD exceptions,no direct source reuse; offensive raw-packet mechanisms rejected,none; CRC/path/duplicate/case/type checks passed before extraction,raw packet/spoof/scan authority rejected completely; protocol negative evidence only,0
post-refactor-20c,httun-main,httun-main.zip,51d0d50256b8302a2b23802f257d764bc5251a43e4fd6f888434de3f068d1576,111,88,23,627,0,MIT OR Apache-2.0,source reuse legally possible with attribution; live target sequence hardening independently rederived,none; CRC/path/duplicate/case/type checks passed before extraction,sequence/replay evidence converged into existing relay; second tunnel/server authority rejected,0
post-refactor-20c,hysteria-python-main,hysteria-python-main.zip,750364f68297b4c807dae9b2719fae0d6ffdfede51ef83b18ea759242beb7043,464,397,67,7,0,MIT wrapper; bundled upstream components carry their own licenses,no bundled-source credit/import; reference/FFI evidence only,none; CRC/path/duplicate/case/type checks passed before extraction,FFI packaging reference; bundled Hysteria/pybind11 receive no duplicate semantic credit or runtime authority,0
