target_capability,contributing_records,donors,strongest_target_disposition,target_nodes,second_order_result
WireGuard implementation/test/build corpus,PR225-M115;PR225-M118;PR225-M119;PR225-F0816;PR225-F0892;PR225-F0893;PR225-F0894;PR225-F0904;PR225-F0905;PR225-F0914;PR225-F0915;PR225-F0916;PR225-F0917;PR225-F0918;PR225-F0919;PR225-F0920;PR225-F0921;PR225-F0922;PR225-F0923;PR225-F0924;PR225-F0925;PR225-F0953,wireguard-go,reference-only,src/apps/daemon/internal/runtime/warp,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
WireGuard peer/device readiness policy,PR225-M111;PR225-M113;PR225-M114;PR225-F0847;PR225-F0848;PR225-F0849;PR225-F0850;PR225-F0851;PR225-F0852;PR225-F0853;PR225-F0854;PR225-F0855;PR225-F0856;PR225-F0857;PR225-F0858;PR225-F0859;PR225-F0860;PR225-F0861;PR225-F0862;PR225-F0863;PR225-F0864;PR225-F0865;PR225-F0866;PR225-F0867;PR225-F0868;PR225-F0869;PR225-F0870;PR225-F0871;PR225-F0872;PR225-F0873;PR225-F0874;PR225-F0875;PR225-F0876;PR225-F0877;PR225-F0878;PR225-F0879;PR225-F0880;PR225-F0881;PR225-F0882;PR225-F0883;PR225-F0884;PR225-F0885;PR225-F0886;PR225-F0887;PR225-F0888;PR225-F0889;PR225-F0890;PR225-F0891;PR225-F0906;PR225-F0907;PR225-F0908;PR225-F0909,wireguard-go,inspired-native,src/apps/daemon/internal/analysis/diagnostics/wireguard_device_policy_plan.go#BuildWireGuardDevicePolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
WireGuard transport/device integration,PR225-M109;PR225-M110;PR225-M112;PR225-M120;PR225-F0817;PR225-F0818;PR225-F0819;PR225-F0820;PR225-F0821;PR225-F0822;PR225-F0823;PR225-F0824;PR225-F0825;PR225-F0826;PR225-F0827;PR225-F0828;PR225-F0829;PR225-F0830;PR225-F0831;PR225-F0832;PR225-F0833;PR225-F0834;PR225-F0835;PR225-F0836;PR225-F0837;PR225-F0838;PR225-F0839;PR225-F0840;PR225-F0841;PR225-F0842;PR225-F0843;PR225-F0844;PR225-F0845;PR225-F0846;PR225-F0895;PR225-F0896;PR225-F0897;PR225-F0898;PR225-F0899;PR225-F0900;PR225-F0901;PR225-F0902;PR225-F0903;PR225-F0926;PR225-F0927;PR225-F0928;PR225-F0929;PR225-F0930;PR225-F0931;PR225-F0932;PR225-F0933;PR225-F0934;PR225-F0935;PR225-F0936;PR225-F0937;PR225-F0938;PR225-F0939;PR225-F0940;PR225-F0941;PR225-F0942;PR225-F0943;PR225-F0944;PR225-F0945;PR225-F0946;PR225-F0947;PR225-F0948;PR225-F0949;PR225-F0950;PR225-F0951;PR225-F0952,wireguard-go,superseded,src/apps/daemon/internal/runtime/warp;src/apps/daemon/internal/platform/system,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
bounded declarative network workflow policy,PR225-M122;PR225-M123;PR225-M124;PR225-M126;PR225-M128;PR225-M129;PR225-M130;PR225-F0954;PR225-F0955;PR225-F0956;PR225-F0957;PR225-F0958;PR225-F0959;PR225-F0960;PR225-F0961;PR225-F0964;PR225-F0965;PR225-F0966;PR225-F0967;PR225-F0968;PR225-F0969;PR225-F0970;PR225-F0971;PR225-F0972;PR225-F0973;PR225-F0974;PR225-F0975;PR225-F0976;PR225-F0977;PR225-F0978;PR225-F0982;PR225-F0983;PR225-F0984;PR225-F0985;PR225-F0986;PR225-F0987;PR225-F0988;PR225-F0989;PR225-F0990,wormhole,inspired-native,src/apps/daemon/internal/analysis/diagnostics/network_workflow_plan.go#BuildNetworkWorkflowPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
bounded diagnostic UI/UX and log evidence,PR225-M006;PR225-F0076;PR225-F0077;PR225-F0078;PR225-F0079;PR225-F0080;PR225-F0081;PR225-F0082;PR225-F0083;PR225-F0084;PR225-F0085;PR225-F0086;PR225-F0087;PR225-F0088;PR225-F0089;PR225-F0090;PR225-F0091;PR225-F0092;PR225-F0093;PR225-F0094;PR225-F0095;PR225-F0096;PR225-F0097;PR225-F0098;PR225-F0099;PR225-F0100;PR225-F0101;PR225-F0102;PR225-F0103;PR225-F0104,sni-spoofing-go,inspired-native,src/packages/control-ui/src/pages/Logs.tsx#Logs;src/packages/control-ui/src/pages/Operations.tsx#Operations,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
health/status-page UX,PR225-M072;PR225-M074;PR225-M075;PR225-M078;PR225-F0258;PR225-F0259;PR225-F0260;PR225-F0261;PR225-F0262;PR225-F0263;PR225-F0264;PR225-F0265;PR225-F0266;PR225-F0267;PR225-F0272;PR225-F0273;PR225-F0274;PR225-F0275;PR225-F0276;PR225-F0281;PR225-F0282;PR225-F0283;PR225-F0284;PR225-F0285;PR225-F0286;PR225-F0292,uptimeflare,inspired-native,src/packages/control-ui/src/pages/Health.tsx#Health;src/packages/control-ui/src/pages/Logs.tsx#Logs,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
immutable update artifact admission,PR225-M059;PR225-F0442;PR225-F0443;PR225-F0444;PR225-F0445;PR225-F0446;PR225-F0447;PR225-F0448,v2raya-scoop,superseded,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verifier,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
mobile utility and validation primitives,PR225-M041;PR225-M052;PR225-F0507;PR225-F0586;PR225-F0587;PR225-F0588;PR225-F0589;PR225-F0590;PR225-F0591;PR225-F0592;PR225-F0593;PR225-F0594;PR225-F0595;PR225-F0596,v2rayng,superseded,src/apps/daemon/internal/platform/mobilehost/host.go#Host;src/packages/control-ui/src/api/contracts.ts,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
monitoring deployment/support evidence,PR225-M073;PR225-M076;PR225-M077;PR225-M080;PR225-F0255;PR225-F0256;PR225-F0257;PR225-F0268;PR225-F0269;PR225-F0270;PR225-F0271;PR225-F0277;PR225-F0278;PR225-F0279;PR225-F0280;PR225-F0287;PR225-F0288;PR225-F0289;PR225-F0290;PR225-F0291;PR225-F0293;PR225-F0295;PR225-F0296;PR225-F0297;PR225-F0298;PR225-F0299;PR225-F0309,uptimeflare,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
multiplex admission policy,PR225-M033;PR225-F0045;PR225-F0046;PR225-F0047;PR225-F0048;PR225-F0049;PR225-F0050;PR225-F0051;PR225-F0052;PR225-F0053;PR225-F0054;PR225-F0055;PR225-F0056;PR225-F0057;PR225-F0058;PR225-F0059;PR225-F0060;PR225-F0061;PR225-F0062;PR225-F0063,sing-mux,inspired-native,src/apps/daemon/internal/analysis/diagnostics/multiplex_policy_plan.go#BuildMultiplexPolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
packet injection authority and path evidence,PR225-M009;PR225-F0123;PR225-F0124;PR225-F0125;PR225-F0126;PR225-F0127;PR225-F0128;PR225-F0129;PR225-F0130;PR225-F0131;PR225-F0132;PR225-F0133;PR225-F0134;PR225-F0135;PR225-F0136;PR225-F0137,sni-spoofing-go,superseded,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
pinned uTLS upstream implementation/test corpus,PR225-M094;PR225-M095;PR225-M096;PR225-M097;PR225-M098;PR225-M099;PR225-F0310;PR225-F0311;PR225-F0312;PR225-F0313;PR225-F0314;PR225-F0315;PR225-F0316;PR225-F0317;PR225-F0318;PR225-F0319;PR225-F0320;PR225-F0321;PR225-F0322;PR225-F0323;PR225-F0324;PR225-F0325;PR225-F0326;PR225-F0327;PR225-F0328;PR225-F0329;PR225-F0330;PR225-F0331;PR225-F0332;PR225-F0333;PR225-F0334;PR225-F0336;PR225-F0337;PR225-F0338;PR225-F0339;PR225-F0340;PR225-F0341;PR225-F0346;PR225-F0347;PR225-F0348;PR225-F0349;PR225-F0350;PR225-F0353;PR225-F0354;PR225-F0355;PR225-F0356;PR225-F0357;PR225-F0358;PR225-F0359;PR225-F0360;PR225-F0361;PR225-F0372;PR225-F0373;PR225-F0374;PR225-F0375;PR225-F0376;PR225-F0377;PR225-F0378;PR225-F0379;PR225-F0380;PR225-F0381;PR225-F0382;PR225-F0383;PR225-F0384;PR225-F0385;PR225-F0386;PR225-F0387;PR225-F0388;PR225-F0395;PR225-F0396;PR225-F0397;PR225-F0398;PR225-F0399;PR225-F0400;PR225-F0403;PR225-F0404;PR225-F0405;PR225-F0408;PR225-F0409;PR225-F0410;PR225-F0411;PR225-F0418;PR225-F0419;PR225-F0422;PR225-F0423;PR225-F0424,utls,reference-only,src/apps/daemon/internal/runtime/proxy/wstunnel.go#dialUTLS,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
privilege/helper process boundary,PR225-M008;PR225-M012;PR225-F0107;PR225-F0108;PR225-F0109;PR225-F0110;PR225-F0111;PR225-F0112;PR225-F0113;PR225-F0114;PR225-F0115;PR225-F0116;PR225-F0117;PR225-F0118;PR225-F0119;PR225-F0120;PR225-F0121;PR225-F0122;PR225-F0149;PR225-F0150,sni-spoofing-go,superseded,src/apps/daemon/internal/foundation/redact/redact.go#String;src/apps/daemon/internal/platform/system,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
profile/mobile operator UX,PR225-M044;PR225-M046;PR225-M047;PR225-M048;PR225-M051;PR225-M053;PR225-F0458;PR225-F0459;PR225-F0527;PR225-F0528;PR225-F0529;PR225-F0530;PR225-F0531;PR225-F0532;PR225-F0533;PR225-F0534;PR225-F0548;PR225-F0549;PR225-F0550;PR225-F0551;PR225-F0552;PR225-F0553;PR225-F0554;PR225-F0555;PR225-F0556;PR225-F0557;PR225-F0558;PR225-F0559;PR225-F0560;PR225-F0561;PR225-F0562;PR225-F0563;PR225-F0564;PR225-F0565;PR225-F0566;PR225-F0567;PR225-F0568;PR225-F0569;PR225-F0570;PR225-F0571;PR225-F0572;PR225-F0573;PR225-F0574;PR225-F0575;PR225-F0576;PR225-F0577;PR225-F0578;PR225-F0579;PR225-F0580;PR225-F0581;PR225-F0582;PR225-F0583;PR225-F0584;PR225-F0585;PR225-F0597;PR225-F0598;PR225-F0599;PR225-F0600;PR225-F0601;PR225-F0602;PR225-F0603;PR225-F0604;PR225-F0605;PR225-F0606;PR225-F0607;PR225-F0608;PR225-F0609;PR225-F0610;PR225-F0611;PR225-F0612;PR225-F0613;PR225-F0614;PR225-F0615;PR225-F0616;PR225-F0617;PR225-F0618;PR225-F0619;PR225-F0620;PR225-F0621;PR225-F0622;PR225-F0623;PR225-F0624;PR225-F0625;PR225-F0626;PR225-F0627;PR225-F0628;PR225-F0629;PR225-F0630;PR225-F0631;PR225-F0632;PR225-F0633;PR225-F0634;PR225-F0635;PR225-F0636;PR225-F0637;PR225-F0638;PR225-F0639;PR225-F0640;PR225-F0641;PR225-F0642;PR225-F0643;PR225-F0644;PR225-F0645;PR225-F0646;PR225-F0647;PR225-F0648;PR225-F0649;PR225-F0650;PR225-F0651;PR225-F0652;PR225-F0653;PR225-F0654;PR225-F0655;PR225-F0656;PR225-F0657;PR225-F0658;PR225-F0659;PR225-F0660;PR225-F0661;PR225-F0662;PR225-F0663;PR225-F0664;PR225-F0665;PR225-F0666;PR225-F0667;PR225-F0668;PR225-F0669;PR225-F0670;PR225-F0671;PR225-F0672;PR225-F0673;PR225-F0674;PR225-F0675;PR225-F0676;PR225-F0677;PR225-F0678;PR225-F0679;PR225-F0680;PR225-F0681;PR225-F0682;PR225-F0683;PR225-F0684;PR225-F0685;PR225-F0686;PR225-F0687;PR225-F0688;PR225-F0689;PR225-F0690;PR225-F0691;PR225-F0692;PR225-F0693;PR225-F0694;PR225-F0695;PR225-F0696;PR225-F0697;PR225-F0698;PR225-F0699;PR225-F0700,v2rayng,inspired-native,src/packages/control-ui/src/pages/Profiles.tsx#Profiles;src/packages/control-ui/src/pages/Rules.tsx#Rules;src/packages/control-ui/src/pages/Settings.tsx#Settings,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
proxy share-link grammar and round-trip compatibility,PR225-M042;PR225-F0508;PR225-F0509;PR225-F0510;PR225-F0511;PR225-F0512;PR225-F0513;PR225-F0514;PR225-F0515;PR225-F0516;PR225-F0703,v2rayng,superseded,src/apps/daemon/internal/networking/proxyconfig/types.go#ProxyConfig;src/apps/daemon/internal/networking/proxyconfig/parser_contract_test.go,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
proxy/mobile core configuration contracts,PR225-M037;PR225-M038;PR225-M039;PR225-M040;PR225-F0465;PR225-F0466;PR225-F0467;PR225-F0468;PR225-F0469;PR225-F0470;PR225-F0471;PR225-F0472;PR225-F0473;PR225-F0474;PR225-F0475;PR225-F0476;PR225-F0477;PR225-F0478;PR225-F0479;PR225-F0480;PR225-F0481;PR225-F0482;PR225-F0483;PR225-F0484;PR225-F0485;PR225-F0486;PR225-F0487;PR225-F0488;PR225-F0489;PR225-F0490;PR225-F0491;PR225-F0492;PR225-F0493;PR225-F0494;PR225-F0495;PR225-F0496;PR225-F0497;PR225-F0498;PR225-F0499;PR225-F0500;PR225-F0501;PR225-F0502;PR225-F0503;PR225-F0504;PR225-F0505;PR225-F0506,v2rayng,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go#CoreManager;src/apps/daemon/internal/runtime/mobilecore/controller.go#Controller,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
queue/backpressure policy,PR225-M067;PR225-M068;PR225-M069;PR225-M070;PR225-F0241;PR225-F0242;PR225-F0243;PR225-F0244;PR225-F0245;PR225-F0246;PR225-F0247;PR225-F0248;PR225-F0249;PR225-F0250;PR225-F0251;PR225-F0252;PR225-F0253;PR225-F0254,udp-ring-queue,inspired-native,src/apps/daemon/internal/analysis/diagnostics/queue_backpressure_plan.go#BuildQueueBackpressurePolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
relay design inspection,PR225-M025;PR225-F0010;PR225-F0011;PR225-F0012,mitm-relay,guardrail-derived,src/apps/daemon/internal/analysis/diagnostics/relay_inspection_plan.go#BuildRelayInspectionPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
routing artifact provenance,PR225-M027;PR225-M028;PR225-M035;PR225-F0013;PR225-F0014;PR225-F0015;PR225-F0016;PR225-F0017;PR225-F0018;PR225-F0019;PR225-F0020;PR225-F0021,routing-list;sing-box-rules,inspired-native,src/apps/daemon/internal/analysis/diagnostics/routing_artifact_plan.go#BuildRoutingArtifactPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
secret-bearing artifact admission,PR225-M023;PR225-F0001;PR225-F0002;PR225-F0003;PR225-F0004;PR225-F0005;PR225-F0006;PR225-F0007;PR225-F0008;PR225-F0009,mitm-proxy,guardrail-derived,src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go#BuildArtifactAdmissionPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
service incident policy,PR225-M079;PR225-M081;PR225-F0294;PR225-F0300;PR225-F0301;PR225-F0302;PR225-F0303;PR225-F0304;PR225-F0305;PR225-F0306;PR225-F0307;PR225-F0308,uptimeflare,inspired-native,src/apps/daemon/internal/analysis/diagnostics/service_incident_policy_plan.go#BuildServiceIncidentPolicyPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
service/update lifecycle scripts,PR225-M058;PR225-M061;PR225-F0436;PR225-F0437;PR225-F0438;PR225-F0439;PR225-F0440;PR225-F0441;PR225-F0449;PR225-F0450;PR225-F0451;PR225-F0452;PR225-F0453;PR225-F0454;PR225-F0455;PR225-F0456,v2raya-scoop,superseded,src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verifier,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
"subscription, update, backup and certificate evidence",PR225-M043;PR225-F0517;PR225-F0518;PR225-F0519;PR225-F0520;PR225-F0521;PR225-F0522;PR225-F0523;PR225-F0524;PR225-F0525;PR225-F0526,v2rayng,superseded,src/apps/daemon/internal/integrations/sub/node_catalogue.go#NodeCatalogue;src/apps/daemon/internal/foundation/updateadmission/updateadmission.go#Verifier;src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go#BuildArtifactAdmissionPlan,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
terminal/TUI layout and input ergonomics,PR225-M133;PR225-F0188;PR225-F0189;PR225-F0190,tt,superseded,labs/daemon/modules/tui/tui.go#Model,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
typed planner admission contracts,PR225-M007;PR225-F0105;PR225-F0106,sni-spoofing-go,inspired-native,src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go#PlanSNIPaths;src/packages/control-ui/src/api/planners.ts,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
userspace TUN packet/session correctness,PR225-M063;PR225-M064;PR225-M065;PR225-F0222;PR225-F0223;PR225-F0224;PR225-F0225;PR225-F0226;PR225-F0227;PR225-F0228;PR225-F0229;PR225-F0230;PR225-F0231;PR225-F0232;PR225-F0233;PR225-F0234;PR225-F0235;PR225-F0236;PR225-F0237;PR225-F0238;PR225-F0239;PR225-F0240,tun2socket,hardened,src/packages/lumicore/src/system/userspace_tun.rs#UserspaceTunScheduler,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
v2rayNG packaging/support evidence,PR225-M049;PR225-M054;PR225-M055;PR225-F0457;PR225-F0460;PR225-F0461;PR225-F0462;PR225-F0463;PR225-F0464;PR225-F0701;PR225-F0702;PR225-F0704;PR225-F0705;PR225-F0706;PR225-F0707;PR225-F0708;PR225-F0709;PR225-F0710,v2rayng,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
wormhole demo/deployment payloads,PR225-M125;PR225-M127;PR225-M131;PR225-F0962;PR225-F0963;PR225-F0979;PR225-F0980;PR225-F0981;PR225-F0991;PR225-F0992,wormhole,reference-only,n/a,recomposed into one target owner or explicit reference/guardrail; no duplicate runtime authority
