path,change_type,ninth_order_sha256,current_sha256,accountability_class,repair_ids,semantic_record_ids,reason
governance/convergence/final-pass-peer-synthesis.md,added,n/a,da5aab73ac5c3eb130991c8921ff733a82b489b6f0682e4d93ef222a64db6240,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-semantic-revalidation.csv,added,n/a,a1aa27b1b997b156c07b1e97b1e27d12b84f86ede9f44f493ae921f058e7d053,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-signals.csv,added,n/a,4598bf96f348f86da198e6c0382539aa25b9956f8f9cd2eeaf33255dd0009433,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-supersession-map.csv,added,n/a,c31a95f23ffc74a68f499f19711cee8c4db180f7029a78a87bd906d7857d26ff,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-surfaces.csv,added,n/a,b9277596106b0fcd8981cd9822c002085e8af72a891f69b86cc8ab64e6be46b0,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-symbols.csv,added,n/a,039d5d7b1390f829266bc217b9fdf81500ed2616dc3045d3d1c9d66025862483,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-target-repairs.csv,added,n/a,c3e85448223039a94fe00eed03664803488b4aec9cb94b4555088e84df6b755e,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/convergence/final-pass-validation.md,added,n/a,2ae279b47e6dcc9c37bd3c716c0a7a6a2861e3260aab727acd0dacd23efeaed8,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
governance/topology/relocations.json,modified,945b56ed29cd552500b0c148a2dc518dea3cb51345014999a915ccf5ded5242a,1f906310e4399f487495c19b7d086876db8db4fa6bc420f8cb591e915a7b9e4d,semantic-repair,FP-R014,FP-GOV,topology retirement registration: legacy reverse proxies explicitly retired in relocation provenance rather than silently deleted
scripts/checks/check_final_convergence.py,added,n/a,283baa020953efabf1d1eee99a362ef32cabfd4561f9841257a8b5ced433fa90,governance/evidence,FP-GOV,n/a,"final cross-wave convergence evidence, historical layering, topology registration, or canonical verification wiring"
scripts/checks/check_ninth_order_convergence.py,modified,dca1bba501aba8cd0645cd699880d82a2d87be30e5feef25849a915105379a7b,816566a20ecbfc0f0f6fbed215410468c7b0a9f0656ddbe25975e40ab6638229,semantic-repair,FP-R012,FP-GOV,historical successor layering: ninth-order checker freezes its original target against final-pass successor baseline instead of reinterpreting history
src/apps/daemon/internal/adapters/api/config_mutation.go,added,n/a,714fdd3a1439d8a70439e429832999956d1ca7543b6844510f71a2a000b2b1c7,semantic-repair,FP-R004,FP-S004,live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap
src/apps/daemon/internal/adapters/api/config_mutation_test.go,added,n/a,595e4546e0202d3d5fe7e6668ce7269df06bb4d3b55124415abcaacc243c1404,semantic-repair,FP-R004,FP-S004,live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap
src/apps/daemon/internal/adapters/api/handlers_proxy_directory.go,modified,79970941b53de6eadb1b2c5581e6030f0e724226635e5e1337b63ae65f688201,53870ceaba5ca5663bbfe9f22022707974ced28a89a38a2e8fd097ae54f18bd8,semantic-repair,FP-R004,FP-S004,live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap
src/apps/daemon/internal/adapters/api/handlers_system_ddns.go,modified,0471d7d9b1b3e9453202bff6f37643fc01c8ba875682c0da1971d87955f5e9f2,8befd2d557b17021fe107837d3fae265d61b2a3bb7b6c498f4fef9175c5b383a,semantic-repair,FP-R004,FP-S004,live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap
src/apps/daemon/internal/adapters/api/handlers_system_startup.go,modified,0706088ab9e8343a200466944c0cc9c26b5550a014e77f0d6cd6f1dc44200947,fdc20433cc08d4bea257c12a2732330eb9306b54d9ef04da765363683c44a3f3,semantic-repair,FP-R004;FP-R009,FP-S004,live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap | post-commit runtime side effect ordering: HostsOverride applies only after durable config CAS succeeds
src/apps/daemon/internal/analysis/scanner/cloudflare_deployer.go,modified,faa544ccdfd54344fb00833df24e3d0d7d999de34275d9393b075455611e407e,75d90e7759ef7cf0dfa5aafc3f6678cef0292338b5e6a3f66372f9ff56b0b74b,semantic-repair,FP-R001,FP-S001,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions
src/apps/daemon/internal/foundation/config/config.go,modified,5a2ac4270915c4eb864ac0a4ab8be8a3a26d9359537b7633a0a4d9cf620904ba,3e8a59a963944a7215fa37dfbc5fa59ed90c50100f4f969233e0b560966a04a2,semantic-repair,FP-R004;FP-R005;FP-R006;FP-R007;FP-R008,FP-S004;FP-S006;FP-S005,"live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap | owned config snapshots: Get/Save deep-copy nested proxy nodes, decoy targets and trusted-key maps; generated refs retained in published state | copy-on-write secret commit: staged secret refs roll back on config failure and superseded refs retire only after durable publication | durable config generation: _revision survives restart, legacy files migrate, reused changed external revisions advance to prevent ABA, and byte-identical self-reloads do not churn generations | stop spurious load rewrites: inline-secret migration detector excludes the deliberately inline-encrypted Upgen seed"
src/apps/daemon/internal/foundation/config/revision_test.go,added,n/a,2f2554bb82178dd6e14594fc2bae132c5728b2e4e7eb84e9967fce02b0bc7913,semantic-repair,FP-R004;FP-R005;FP-R006;FP-R007;FP-R008,FP-S004;FP-S006;FP-S005,"live config CAS: canonical Manager and all live config HTTP writers use revision compare-and-swap | owned config snapshots: Get/Save deep-copy nested proxy nodes, decoy targets and trusted-key maps; generated refs retained in published state | copy-on-write secret commit: staged secret refs roll back on config failure and superseded refs retire only after durable publication | durable config generation: _revision survives restart, legacy files migrate, reused changed external revisions advance to prevent ABA, and byte-identical self-reloads do not churn generations | stop spurious load rewrites: inline-secret migration detector excludes the deliberately inline-encrypted Upgen seed"
src/apps/daemon/internal/foundation/remoteaction/remoteaction.go,modified,982e8b6e832af6bd23205cab818ba07b170c5029c909a49c086cb5994ba11df4,f318f9b602484f4ac6af800c52cc6397d1bb43c0fee4d970a47b666d2953bb40,semantic-repair,FP-R001;FP-R002;FP-R003,FP-S001;FP-S002;FP-S003,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions | bounded provider mutation concurrency: per-scope in-flight limit and global active-scope capacity fail closed before side effects | retry herd control: local exponential backoff is jittered while explicit Retry-After remains exact
src/apps/daemon/internal/foundation/remoteaction/remoteaction_test.go,modified,8aa8ab2d63e2543be629de6809748d06ac6f1c61d9c7e415670eb8f8b7346da4,8ad058df260ce827609fc20975d735304fe3735bedbe80824a45d32cce538b22,semantic-repair,FP-R002;FP-R003,FP-S002;FP-S003,bounded provider mutation concurrency: per-scope in-flight limit and global active-scope capacity fail closed before side effects | retry herd control: local exponential backoff is jittered while explicit Retry-After remains exact
src/apps/daemon/internal/integrations/provision/cloudflare.go,modified,36b69e771c164ee16030d94dab5b2caedbf3b659476d034f1fb44f7443fd0485,6527de20f178c1af0f6dd9fdb2336d018c3898256cfdc4a81956409af655e971,semantic-repair,FP-R001,FP-S001,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions
src/apps/daemon/internal/networking/dns/ddns_updater.go,modified,82400989552b83b02d058ed99ec00b22b54cf484885dc701a34609cc81ba80b4,9171414a882b4847aa388cb9af8bd13637309906c28a8f5c90f6e5a9bba725cc,semantic-repair,FP-R001,FP-S001,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions
src/apps/daemon/internal/platform/system/api_key_reverse_proxy.go,deleted,3d9cf415ee1089d33dac0d630352d8dff976338dfb51b351bbd8d26d624c27e3,n/a,semantic-repair,FP-R011,FP-SAFETY-RETIRE,retire unsafe dormant API-key reverse proxy: removed unused auth-bypass-on-empty-secret/process-fatal legacy proxy port
src/apps/daemon/internal/platform/system/reverse_tls.go,deleted,b9a6f5e7b987b338d7c8143a149e54f9f98be3766b832ba53bc4fb75388a6019,n/a,semantic-repair,FP-R010,FP-SAFETY-RETIRE,retire unsafe dormant TLS relay: removed unused default-InsecureSkipVerify/shared-raw-relay legacy port
src/apps/daemon/internal/runtime/proxy/google_drive_actions.go,modified,685c84de47eb9bd2005be514eaca4da2c8fa35dc68c4c9a12b5cff07b9311468,f9c14b74d971dacce7bcc7ba1a8941489862e03d83c8fbb704c3fd976e3c6ebd,semantic-repair,FP-R001,FP-S001,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions
src/apps/daemon/internal/runtime/warp/warp.go,modified,f52324ffdf9f679bbcdc58a83c6b7c832a0378708e174ddd9c8e54c50a4d10d7,9e033655c448e40f9407a4b1d0dbc9098415d8afe10c79f312fc0dd4a08a0ea1,semantic-repair,FP-R001,FP-S001,provider-scope mutation cooldown: remoteaction cooldown now keys on declared provider quota scope across distinct actions
